id,premise,hypothesis,label
1014,Toddler with milk around his mouth.,A child has milk on their face.,2
1017,Toddler with milk around his mouth.,Toddler eating milk.,0
1020,Toddler with milk around his mouth.,Toddler wearing mik,2
1023,Toddler with milk around his mouth.,The toddler has icecream around his mouth.,0
1026,Toddler with milk around his mouth.,A toddler just drank his first glass of milk.,1
1029,A man dressed in warm clothing sleds behind four dogs in the snow.,The man is swimming with his dogs.,0
1032,A cowboy Roping a calf in a rodeo.,A cowboy with a brown hat is roping a calf in a rodeo.,1
1035,Men fish on a concrete slab.,Men are sleeping in tents.,0
1038,A man wearing a blue shirt screaming or yelling with his arms raised up in the air.,A man is angry.,1
1041,"Four people near a body of water, one sitting and three standing, while two people walk on a nearby sidewalk.",one person swims in water,0
1044,"Four people near a body of water, one sitting and three standing, while two people walk on a nearby sidewalk.",one person sits while three stand near a body of water.,2
1047,"Four people near a body of water, one sitting and three standing, while two people walk on a nearby sidewalk.",The sidewalk is desolate and empty.,0
1050,"Four people near a body of water, one sitting and three standing, while two people walk on a nearby sidewalk.",There are people on a sidewalk.,2
1053,"Four people near a body of water, one sitting and three standing, while two people walk on a nearby sidewalk.",Four people congregate near the water.,2
1056,Two little girls lie on the carpet next to an O made of wooden blocks.,Two girls are taking a nap on the carpet.,1
1059,People are fishing and walking next to the water.,People are fishing and walking next to the water.,2
1062,Two guys playing football on a campus green.,They are eating fried fish on the boat,0
1065,Asian school children sitting on each others shoulders.,Schoolchildren together,2
1068,A man wearing a red sweater is sitting on a car bumper watching another person work.,vehicles are slow at speed breaker,0
1071,A young woman frolicking on the lawn in front of the us capitol building.,A young woman having a picnic on the lawn in front of the capitol building.,0
1074,a man wearing a multicolored striped shirt playing the guitar on the street,A man is hitting a child,0
1077,A man wearing a colorful and striped sweater plays music in the street.,Two goldfish are riding bikes in a giant pile of mashed potatoes.,0
1080,A man wearing a multi-color coat is playing the guitar on the street.,The man plays guitar,2
1083,Street performer in colorful shirt performing with small guitar.,The street performer is singing a song.,1
1086,Two men are painting a building while a third is walking past on his cellphone.,A building is being painted.,2
1089,Two men are on scaffolding as they paint above a storefront while a man on the sidewalk stands next to them talking on the phone.,Two men are painting their new store.,1
1092,A blue excavator digging a large hold in cement.,the boy was listening,1
1095,A man with khaki shorts on is holding a little girls hand while she walks in the water of a creek.,A man is holding a girls hand and walking through a creek.,2
1098,Two women are walking down a dirt path carrying loads on their heads.,Two horses running in a field.,0
1101,A street vendor in Asia tries to bring in more customers.,A vendor trying to attract costumers.,2
1104,Young woman in a cafe checking her cellphone.,The woman is knitting.,0
1107,A woman and a girl are playing in a field of leaves,A mother and daughter are playing in a field.,1
1110,two small girls walk along the leaves.,The two girls are outside.,2
1113,"A girl wearing a blue shirt, shorts, and sneakers is seated on a stool at a round table, looking at her phone.",The girl is sitting.,2
1116,Young lady dressed in black shorts and light blue shirt sitting outside at a public table looking at a picture on her camera with her left hand on her face.,A lady is using a cat to take pictures.,0
1119,Young lady dressed in black shorts and light blue shirt sitting outside at a public table looking at a picture on her camera with her left hand on her face.,A young lady is looking at a picture.,2
1122,Young lady dressed in black shorts and light blue shirt sitting outside at a public table looking at a picture on her camera with her left hand on her face.,A lady looks at her phone.,0
1125,Young lady dressed in black shorts and light blue shirt sitting outside at a public table looking at a picture on her camera with her left hand on her face.,A young lady is looking at her camera.,2
1128,Young lady dressed in black shorts and light blue shirt sitting outside at a public table looking at a picture on her camera with her left hand on her face.,A lady looks at pictures on her camera to print.,1
1131,"A woman sitting at a table, taking a picture.",The woman is taking a picture,1
1134,A woman in a blue shirt is sitting at a table and looking at her cellphone.,a woman looking at her cellphone,2
1137,"A boy in a blue, yellow, and orange shirt holding his arms out from his sides.",A gentleman in sleeveless blue shirt swings his hands at his sides,1
1140,"A boy in a blue, yellow, and orange shirt holding his arms out from his sides.",The boy is trying to pass a sobriety test.,0
1143,"A boy in a blue, yellow, and orange shirt holding his arms out from his sides.",He is wearing a multicolored shirt,2
1146,"A boy in a blue, yellow, and orange shirt holding his arms out from his sides.",A boy is folding clean laundry.,0
1149,"A boy in a blue, yellow, and orange shirt holding his arms out from his sides.",A little boy has his arms held out to his sides and he is sticking out his tongue.,1
1152,The boy in the blue and yellow top is standing with arms outstretched.,A boy is wearing a shirt,2
1155,"A boy in a blue, yellow, and orange shirt plays outside.",A boy is having fun on vacation.,1
1158,A child with a brightly colored shirt plays outside.,The child is inside his apartment.,0
1161,A boy looks down and spreads his arms wide,A boy is holding his arms out.,2
1164,A man wearing a gray sweater walking through a pile of leaves.,The man is taking his driving test.,0
1167,A lady wearing a blue print shirt and green head cover smiles for the camera.,A lady wearing a dress.,0
1170,The man wearing lots of medals is watching the girl in the yellow bikini top.,A military officer watches girls at the base pool.,1
1173,"A young man in his mid twenties is kicking his left foot about two feet off the leaf covered ground, with paved asphalt and green plants and trees in the background.",two women play soccer,0
1176,A woman wearing a green headscarf laughs while a woman in the background paddles a boat.,A man is angered by an insult.,0
1179,Young people playing with a long jump rope in the street.,People crying after losing a game.,0
1182,A group of children play jump rope in the streets while others watch in the background.,Several children in green uniforms are jumping rope in the middle of a road while other kids watch,1
1185,Hispanic woman wearing a red plaid shirt works on sewing an article of clothing.,Woman wearing nothing sewing her thumb.,0
1188,A group of young girls playing jump rope in the street.,Nobody is playing jump rope,0
1191,A man in a tan suit is using a pay phone to make a call.,Everyone is using a cell phone.,0
1194,Some children are playing jump rope.,Some children are trying out for the jump rope competition.,1
1197,A large golden dog sniffing the butt of a white dog,Two dogs drinking from a water fountain.,0
1200,A sumo wrestler with a brown belt is pushing another wrestler in a bout.,Two kickboxers excersise in the gym.,0
1203,Two large dogs greet other while their owners watch.,the dogs see each other,2
1206,"A man in a red and black jacket, blue shirt, lots of silver necklaces, and his blue jeans falling down, checks out a woman wearing a black leather jacket, yellow bra, pink fingerless gloves, and sunglasses.",A boy is playing with a toy truck.,0
1209,Woman with green sweater and sunglasses smiling,A woman with blue sweater is crying.,0
1212,A woman with dark hair is wearing a green sweater.,A woman is wearing a tank top.,0
1215,A smiling lady in a green jacket at a public gathering.,A happy woman smiling,2
1218,A woman in a green jacket and black sunglasses outside in a crowd.,The woman is not near anyone.,0
1221,A lady with sunglasses on her head and a green sweatshirt is looking off-camera.,A woman is taking a break from a photo shoot.,1
1224,A climber is making his way up a snowy mountainside.,A climber is ascending,2
1227,A man dressed in snow-gear takes a leap into a snow-covered ravine.,A man is outdoors.,2
1230,a lone person jumping through the air from one snowy mountain to another.,A person jumps in the air.,2
1233,A man in shorts and a white garment stands at the base of stairs framed by black railing.,A woman is waiting for someone framed by white fencing.,0
1236,A man doing tricks in the snow.,There is no snow where the man is,0
1239,Two Asian people sit at a blue table in a food court.,Two people are eating together.,1
1242,Indian couple holding child near riverbank.,A couple is holding a child,2
1245,A bunch of people playing soccer.,a bunch of people are playing soccer,2
1248,A soccer player jumping in air during a game.,A soccer player taking flight across the field during a game.,0
1251,A shot-on-goal action photo of soccer players in red and black uniforms.,a decisive moment in a soccer game is frozen in photo.,1
1254,The red team knocked the ball toward the goal and the black team tried to block it.,The teams are playing soccer.,1
1257,Six soccer players on field with player in red uniform in the air and ball airborne.,People are playing soccer.,2
1260,Two little kids showing their American pride in their star spangled wagon.,Two adults mix up a batch of margaritas.,0
1263,"A young man in a red quilted vest displays an assortment of silver pendants around his neck as he watches a woman in a yellow bikini top, a black jacket, and bright pink fingerless gloves go by.",There is no jewelry.,0
1266,Girl is blowing to a butterfly.,The girl blows a butterfly.,2
1269,An elderly couple dances next to a table where a boy is sitting with his head down.,A young man has his head on the table.,2
1272,A small girl stands among many large watermelons.,There is a girl standing,2
1275,An elderly couple dance in front of a juke box while a guy in shorts sleeps at a nearby table,An old couple dance in by a juke box while a dude wearing shorts sleeps near a table,2
1278,"An elderly couple, both wearing white shirts, dancing and a young male sitting at a table.",The couple has been together a long time.,1
1281,A child stoops to pick up a watermelon from a large pile of them.,A person is near a watermelon.,2
1284,A small girl dressed in a yellow dress with flowers on it bends over near a large pile of watermelons.,The girl is under the age of 88 years old.,2
1287,A little girl picking up a watermelon from a pile.,A girl is buying a watermelon.,1
1290,a young girl in a flowery dress surrounded by watermelons,There is a lot of fruit.,2
1293,A man in a blue jacket screaming.,A man is making a loud noise.,2
1296,Children playing a game in a field.,Children are competing for a reward.,1
1299,A seated woman with short hair and a camera throws a Frisbee to a brown dog.,The woman throws a Frisbee to the dog.,2
1302,Asian city scene of people in street with bright lights and glass buildings behind.,People are in the street.,2
1305,Asian city scene of people in street with bright lights and glass buildings behind.,The scene is in the evening.,1
1308,Asian city scene of people in street with bright lights and glass buildings behind.,City people hanging out,1
1311,Asian city scene of people in street with bright lights and glass buildings behind.,There are people in an urban area.,2
1314,Asian city scene of people in street with bright lights and glass buildings behind.,There is a group of people in Seoul at night.,1
1317,A man is painting a portrait of an outside scene that includes a street sign with a bicycle chained to it.,A woman is drawing a microorganism.,0
1320,An older man stands on the sidewalk painting the view.,The old man will sell his painting.,1
1323,"A crowded street, in an Asian country, where the buildings are dominated by the Seiko building.",The crowded street on New Years Eve.,1
1326,"A crowded street, in an Asian country, where the buildings are dominated by the Seiko building.",It is the afternoon.,1
1329,"A crowded street, in an Asian country, where the buildings are dominated by the Seiko building.",The Seiko building is large.,2
1332,"A crowded street, in an Asian country, where the buildings are dominated by the Seiko building.",There is a crowded street.,2
1335,"A crowded street, in an Asian country, where the buildings are dominated by the Seiko building.",A crowded street in Asia.,2
1338,A small boy has gotten into the cabinet and gotten flour and crisco all over himself.,The boy is trying to make cookies.,1
1341,A male painting a scene in front of him.,A person is painting.,2
1344,Busy Japanese intersection like maybe Tokyo.,There are no cars on the street.,0
1347,Cars are passing through a town.,some car passing outside,2
1350,A picture of a city with a sign welcoming travelers on a busy street.,It is in france,1
1353,Overlooking a street with a sign above shops that states Welcome To Golden.,"The shop sign says  ""Welcome to Golden""",2
1356,There are cars driving down a street with a sign displaying Welcome to Golden.,The cars are parked in a showroom.,0
1359,"A main street scene of a small town with an overhead welcome sign that says ""Welcome to Golden"".","A neon sign reads ""Welcome to Golden""",1
1362,Little Girl in brown shirt and blue jean skirt dances on wood floor.,A girl is dancing in a brown shirt and blue jean skirt on a wooden floor with her father,1
1365,A young man is performing a jump on a skateboard while another young man photographs his stunt.,Two boys are skateboarding outside.,2
1368,A young girl dancing in her socks on a wooden floor strewn with pink balloons.,A girl is enjoying herself.,2
1371,"Child with pink strings on head dancing surrounded by confetti, balloons.",A child is roller skating.,0
1374,"A good-looking firefighter sets up ""Do Not Cross"" tape in the city.",A firefighter is sleeping.,0
1377,A fireman protects an area by setting up a boundary while others watch.,A fireman is working hard to keep people safe.,2
1380,The blond girl is dancing inside a house.,The girl is sitting on a bench in a park.,0
1383,"Two people standing in front of a large statue of a woman, other statues and busts visible in the background.",Two people waiting in line for food at a crowded restaurant.,0
1386,a man with a white covering is walking up a flight of stairs.,An old woman is falling down the stairs.,0
1389,A family between a van and fence,A family by a van.,2
1392,A woman talking to four little children outside.,The teacher is showing her students some items in the park.,1
1395,A mother with her four children.,A woman posing for a picture with her children.,1
1398,A woman and a few children in an alleyway in between a vehicle and a fence.,The woman and children are in their dining room.,0
1401,A woman in a floral dress talks to children in front of a van.,A woman is talking to children.,2
1404,Two men with heads down signing a paper.,The men are signing their names.,1
1407,A man and a woman having an intimate conversation in front a statue.,A couple are having a conversation,2
1410,A man in a Tour De Force shirt is working on a bicycle.,A woman is biking.,0
1413,A young toddler wearing pink sandals is walking on hopscotch numbers.,A young girl wears sandals and walks on hopscotch numbers.,1
1416,a man wearing blue plays soccer.,man playing soccer,2
1419,Mothers with children talking at a gathering.,The mothers are yelling at the children.,0
1422,Two women are talking while children are sitting on their laps.,The man is painting a house.,0
1425,"Two women, each embracing a little girl, catch up at a small family gathering.",2 women are carrying little girls.,2
1428,Two women holding children talking to one another.,The women are having a playdate with their toddlers.,1
1431,"Two women, each with a child, look at each other.",The women have no kids,0
1434,A black-and-white dog carries a stick in his mouth as he swims in the clear water.,The water is empty,0
1437,A black and white dog with a stick in its mouth is swimming.,A dog with an object in it's mouth is in the water.,2
1440,A pirate is chasing a princess down the sidewalk.,Pirate chasing a peach cosplayer,1
1443,A dog is fetching a stick out of very clear water.,A dog is fetching a stick out of very clear water.,2
1446,A dog in the water carries a stick in his mouth.,A dog is going for a walk in the park.,0
1449,Two children are running down a sidewalk dressed in costumes.,Kids are going to a costume party.,1
1452,1 little boy wearing a pirate costume following closely behind a little girl wearing a blue dress carrying a orange pumpkin bucket and walking down the sidewalk.,A boy and girl trick or treating.,1
1455,A little boy in a pirate costume is running behind a little girl in a princess costume carrying an orange pumpkin along the sidewalk.,The kids are sitting in their desks during class.,0
1458,A man with a gray shirt holds a young infant in his hands.,The man is holding his child.,1
1461,"Two girls, each in a dress walking together.",Two girls are doing exercise to live healthy.,1
1464,A group of people are sitting around a table under a blue sunshade.,people having barbecue,1
1467,People in line for plates of rice.,People are waiting to eat.,2
1470,People sitting down to eat.,The wedding party guests sit down to enjoy the feast.,1
1473,Several men sit outside on brick ledges built around tall trees.,Some men are sitting outdoors.,2
1476,Workers are eating a meal while one man sits on a pile of plywood.,Workers are outside at a construction zone.,1
1479,Workers are taking a break during midday.,Workers are diligently building a house.,0
1482,Workers are sitting next to a work zone eating food.,the workers are sitting eating food,0
1485,Biker riding dirt bike on dirt track,He winning the race.,1
1488,A motorcycle racer is in action at the track.,The racer is driving.,2
1491,A blond woman with her hair up is taking off a white sweatshirt.,A woman is taking off a blue shirt.,0
1494,A person is a red hat and winter jacket is looking into the distance.,A farmer stares to see if he can see his cattle herd.,1
1497,A man riding a dirt bike,The man is in a car.,0
