sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id
What should many teachers tour before cleaning the river?,What should many teachers tour the river before cleaning?,syntax,island_effects,adjunct_island,True,False,False,True,219
Who would the Lutherans watch without annoying these actors?,Who would the Lutherans watch these actors without annoying?,syntax,island_effects,adjunct_island,True,False,False,True,220
Who had Travis found without talking about Ellen?,Who had Travis found Ellen without talking about?,syntax,island_effects,adjunct_island,True,False,False,True,221
What has Melissa lifted after healing that bird?,What has Melissa lifted that bird after healing?,syntax,island_effects,adjunct_island,True,False,False,True,222
Who can a cashier insult after watching Rose?,Who can a cashier insult Rose after watching?,syntax,island_effects,adjunct_island,True,False,False,True,223
What had many people walked through while disturbing all hospitals?,What had many people walked through all hospitals while disturbing?,syntax,island_effects,adjunct_island,True,False,False,True,224
Who could Erin approach while irritating Renee?,Who could Erin approach Renee while irritating?,syntax,island_effects,adjunct_island,True,False,False,True,225
Who should current events upset without irritating Cheryl?,Who should current events upset Cheryl without irritating?,syntax,island_effects,adjunct_island,True,False,False,True,226
Who is Renee observing while finding some driver?,Who is Renee observing some driver while finding?,syntax,island_effects,adjunct_island,True,False,False,True,227
Who did Emily leave without curing Alan?,Who did Emily leave Alan without curing?,syntax,island_effects,adjunct_island,True,False,False,True,228
Who is Brenda impressing before kissing this waiter?,Who is Brenda impressing this waiter before kissing?,syntax,island_effects,adjunct_island,True,False,False,True,229
What had Bethany cleaned while escaping from the art galleries?,What had Bethany cleaned the art galleries while escaping from?,syntax,island_effects,adjunct_island,True,False,False,True,230
Who had that rice bored before annoying Samuel?,Who had that rice bored Samuel before annoying?,syntax,island_effects,adjunct_island,True,False,False,True,231
Who is Brian disgusting without admiring the Borgias?,Who is Brian disgusting the Borgias without admiring?,syntax,island_effects,adjunct_island,True,False,False,True,232
What was Theodore wearing before thinking about all socks?,What was Theodore wearing all socks before thinking about?,syntax,island_effects,adjunct_island,True,False,False,True,233
What had the senator climbed up after exiting this hill?,What had the senator climbed up this hill after exiting?,syntax,island_effects,adjunct_island,True,False,False,True,234
Who was Sheila hugging without attacking Heather?,Who was Sheila hugging Heather without attacking?,syntax,island_effects,adjunct_island,True,False,False,True,235
Who should that sketch confuse before astounding Kendra?,Who should that sketch confuse Kendra before astounding?,syntax,island_effects,adjunct_island,True,False,False,True,236
Who does Dennis criticize while aggravating Kristin?,Who does Dennis criticize Kristin while aggravating?,syntax,island_effects,adjunct_island,True,False,False,True,237
Who has Samantha talked to while hurting all girls?,Who has Samantha talked to all girls while hurting?,syntax,island_effects,adjunct_island,True,False,False,True,238
Who had Dawn observed after hiring the Borgias?,Who had Dawn observed the Borgias after hiring?,syntax,island_effects,adjunct_island,True,False,False,True,239
Who did Mitchell scare after arguing about Amanda?,Who did Mitchell scare Amanda after arguing about?,syntax,island_effects,adjunct_island,True,False,False,True,240
Who was this window astounding while scaring Jessica?,Who was this window astounding Jessica while scaring?,syntax,island_effects,adjunct_island,True,False,False,True,241
What have the waitresses biked to without lifting this hospital?,What have the waitresses biked to this hospital without lifting?,syntax,island_effects,adjunct_island,True,False,False,True,242
What is Marie breaking while concealing convertibles?,What is Marie breaking convertibles while concealing?,syntax,island_effects,adjunct_island,True,False,False,True,243
Who had Raymond questioned without boasting about Sara?,Who had Raymond questioned Sara without boasting about?,syntax,island_effects,adjunct_island,True,False,False,True,244
Who does some lamp confuse before worrying Carlos?,Who does some lamp confuse Carlos before worrying?,syntax,island_effects,adjunct_island,True,False,False,True,245
Who had Frank aggravated without appreciating Joel?,Who had Frank aggravated Joel without appreciating?,syntax,island_effects,adjunct_island,True,False,False,True,246
What is Mitchell passing after describing some art galleries?,What is Mitchell passing some art galleries after describing?,syntax,island_effects,adjunct_island,True,False,False,True,247
What had Derek dropped by without annoying Spain?,What had Derek dropped by Spain without annoying?,syntax,island_effects,adjunct_island,True,False,False,True,248
Who is Amy criticizing before aggravating George?,Who is Amy criticizing George before aggravating?,syntax,island_effects,adjunct_island,True,False,False,True,249
Who could Marie think about before referencing James?,Who could Marie think about James before referencing?,syntax,island_effects,adjunct_island,True,False,False,True,250
Who will Rebecca watch while leaving Wendy?,Who will Rebecca watch Wendy while leaving?,syntax,island_effects,adjunct_island,True,False,False,True,251
What are these cashiers running around before talking about those grocery stores?,What are these cashiers running around those grocery stores before talking about?,syntax,island_effects,adjunct_island,True,False,False,True,252
Who does every teenager argue about while scaring Timothy?,Who does every teenager argue about Timothy while scaring?,syntax,island_effects,adjunct_island,True,False,False,True,253
What had Jerry exited without exiting most libraries?,What had Jerry exited most libraries without exiting?,syntax,island_effects,adjunct_island,True,False,False,True,254
Who would Brenda respect before alarming Ellen?,Who would Brenda respect Ellen before alarming?,syntax,island_effects,adjunct_island,True,False,False,True,255
Who would Adam listen to without stunning Patrick?,Who would Adam listen to Patrick without stunning?,syntax,island_effects,adjunct_island,True,False,False,True,256
Who have some hospitals talked to while distracting Jerry?,Who have some hospitals talked to Jerry while distracting?,syntax,island_effects,adjunct_island,True,False,False,True,257
Who might the children help after questioning Ronald?,Who might the children help Ronald after questioning?,syntax,island_effects,adjunct_island,True,False,False,True,258
Who did that cup worry before annoying every doctor?,Who did that cup worry every doctor before annoying?,syntax,island_effects,adjunct_island,True,False,False,True,259
What might Nancy scan while boasting about those plays?,What might Nancy scan those plays while boasting about?,syntax,island_effects,adjunct_island,True,False,False,True,260
Who could the museums dislike without aggravating Amelia?,Who could the museums dislike Amelia without aggravating?,syntax,island_effects,adjunct_island,True,False,False,True,261
Who would Andrea care for while discovering those guys?,Who would Andrea care for those guys while discovering?,syntax,island_effects,adjunct_island,True,False,False,True,262
What was that teacher embarrassing without disgusting every school?,What was that teacher embarrassing every school without disgusting?,syntax,island_effects,adjunct_island,True,False,False,True,263
Who had Colleen appreciated while distracting Janice?,Who had Colleen appreciated Janice while distracting?,syntax,island_effects,adjunct_island,True,False,False,True,264
Who will some guy remember while disgusting Tonya?,Who will some guy remember Tonya while disgusting?,syntax,island_effects,adjunct_island,True,False,False,True,265
What could Cheryl reveal without cleaning a lot of muffins?,What could Cheryl reveal a lot of muffins without cleaning?,syntax,island_effects,adjunct_island,True,False,False,True,266
Who had many commentaries upset without aggravating Lori?,Who had many commentaries upset Lori without aggravating?,syntax,island_effects,adjunct_island,True,False,False,True,267
What are some students breaking while fixing some carriage?,What are some students breaking some carriage while fixing?,syntax,island_effects,adjunct_island,True,False,False,True,268
What could Carl sound like after revealing all restaurants?,What could Carl sound like all restaurants after revealing?,syntax,island_effects,adjunct_island,True,False,False,True,269
What did most books astound after disturbing the organizations?,What did most books astound the organizations after disturbing?,syntax,island_effects,adjunct_island,True,False,False,True,270
What have these customers driven to while skated around all museums?,What have these customers driven to all museums while skated around?,syntax,island_effects,adjunct_island,True,False,False,True,271
Who can Wayne kiss while boasting about Nina?,Who can Wayne kiss Nina while boasting about?,syntax,island_effects,adjunct_island,True,False,False,True,272
Who had Scott described without concealing these men?,Who had Scott described these men without concealing?,syntax,island_effects,adjunct_island,True,False,False,True,273
What have those waiters dropped by while admiring the restaurant?,What have those waiters dropped by the restaurant while admiring?,syntax,island_effects,adjunct_island,True,False,False,True,274
What had Renee researched while examining some play?,What had Renee researched some play while examining?,syntax,island_effects,adjunct_island,True,False,False,True,275
Who had Curtis listened to without noticing Michelle?,Who had Curtis listened to Michelle without noticing?,syntax,island_effects,adjunct_island,True,False,False,True,276
What is Gina examining while complaining about every report?,What is Gina examining every report while complaining about?,syntax,island_effects,adjunct_island,True,False,False,True,277
Who was Gerald talking about before returning to Omar?,Who was Gerald talking about Omar before returning to?,syntax,island_effects,adjunct_island,True,False,False,True,278
Who have most guys described after annoying John?,Who have most guys described John after annoying?,syntax,island_effects,adjunct_island,True,False,False,True,279
Who will Sonia insult after fleeing from Chad?,Who will Sonia insult Chad after fleeing from?,syntax,island_effects,adjunct_island,True,False,False,True,280
Who might that actor hide before hiding Russell?,Who might that actor hide Russell before hiding?,syntax,island_effects,adjunct_island,True,False,False,True,281
Who is Andrew hiring after visiting Thomas?,Who is Andrew hiring Thomas after visiting?,syntax,island_effects,adjunct_island,True,False,False,True,282
Who had these prints bothered while disgusting Laurie?,Who had these prints bothered Laurie while disgusting?,syntax,island_effects,adjunct_island,True,False,False,True,283
Who was the actor revealing after embarrassing Anna?,Who was the actor revealing Anna after embarrassing?,syntax,island_effects,adjunct_island,True,False,False,True,284
What should some snakes climb up without finding every hill?,What should some snakes climb up every hill without finding?,syntax,island_effects,adjunct_island,True,False,False,True,285
What does Alice buy without bringing the windows?,What does Alice buy the windows without bringing?,syntax,island_effects,adjunct_island,True,False,False,True,286
What has Jane boycotted before discovering these legislatures?,What has Jane boycotted these legislatures before discovering?,syntax,island_effects,adjunct_island,True,False,False,True,287
Who will Robert describe without shocking Theresa?,Who will Robert describe Theresa without shocking?,syntax,island_effects,adjunct_island,True,False,False,True,288
What was Emily walking through while arriving at this movie theater?,What was Emily walking through this movie theater while arriving at?,syntax,island_effects,adjunct_island,True,False,False,True,289
What have the turtles broken after breaking all plates?,What have the turtles broken all plates after breaking?,syntax,island_effects,adjunct_island,True,False,False,True,290
Who had Paul healed without alarming Tonya?,Who had Paul healed Tonya without alarming?,syntax,island_effects,adjunct_island,True,False,False,True,291
Who has Brad referenced before discussing Deborah?,Who has Brad referenced Deborah before discussing?,syntax,island_effects,adjunct_island,True,False,False,True,292
What can the girl sell before thinking about this book?,What can the girl sell this book before thinking about?,syntax,island_effects,adjunct_island,True,False,False,True,293
What has this pedestrian biked to after revealing a lot of cafes?,What has this pedestrian biked to a lot of cafes after revealing?,syntax,island_effects,adjunct_island,True,False,False,True,294
Who have all books disagreed with while scaring the Impressionists?,Who have all books disagreed with the Impressionists while scaring?,syntax,island_effects,adjunct_island,True,False,False,True,295
What had the dancers broken after cleaning every skateboard?,What had the dancers broken every skateboard after cleaning?,syntax,island_effects,adjunct_island,True,False,False,True,296
What had that waitress insulted while noticing those libraries?,What had that waitress insulted those libraries while noticing?,syntax,island_effects,adjunct_island,True,False,False,True,297
What could Jason run around without passing malls?,What could Jason run around malls without passing?,syntax,island_effects,adjunct_island,True,False,False,True,298
Who might Tracy talk about after discovering Becca?,Who might Tracy talk about Becca after discovering?,syntax,island_effects,adjunct_island,True,False,False,True,299
What should the guests annoy before distracting some governments?,What should the guests annoy some governments before distracting?,syntax,island_effects,adjunct_island,True,False,False,True,300
What is Michelle scanning without arguing about the newspaper articles?,What is Michelle scanning the newspaper articles without arguing about?,syntax,island_effects,adjunct_island,True,False,False,True,301
Who is this report shocking before disagreeing with Peter?,Who is this report shocking Peter before disagreeing with?,syntax,island_effects,adjunct_island,True,False,False,True,302
Who does Amy fire before observing Winston Churchill?,Who does Amy fire Winston Churchill before observing?,syntax,island_effects,adjunct_island,True,False,False,True,303
What does Galileo sell without discovering a lot of mouths?,What does Galileo sell a lot of mouths without discovering?,syntax,island_effects,adjunct_island,True,False,False,True,304
Who would Rachelle kiss while insulting William?,Who would Rachelle kiss William while insulting?,syntax,island_effects,adjunct_island,True,False,False,True,305
What has Patrick biked to while stunning a lot of schools?,What has Patrick biked to a lot of schools while stunning?,syntax,island_effects,adjunct_island,True,False,False,True,306
Who are most books alarming before confusing Margaret?,Who are most books alarming Margaret before confusing?,syntax,island_effects,adjunct_island,True,False,False,True,307
Who will Nicole visit after describing Dan?,Who will Nicole visit Dan after describing?,syntax,island_effects,adjunct_island,True,False,False,True,308
What will Scott remember before skated around some art gallery?,What will Scott remember some art gallery before skated around?,syntax,island_effects,adjunct_island,True,False,False,True,309
Who were teachers healing before healing most people?,Who were teachers healing most people before healing?,syntax,island_effects,adjunct_island,True,False,False,True,310
Who had teenagers listened to after discovering these girls?,Who had teenagers listened to these girls after discovering?,syntax,island_effects,adjunct_island,True,False,False,True,311
Who is that icicle disgusting while shocking a girl?,Who is that icicle disgusting a girl while shocking?,syntax,island_effects,adjunct_island,True,False,False,True,312
Who is Galileo leaving before listening to Karen?,Who is Galileo leaving Karen before listening to?,syntax,island_effects,adjunct_island,True,False,False,True,313
What was Natalie examining after scanning commentaries?,What was Natalie examining commentaries after scanning?,syntax,island_effects,adjunct_island,True,False,False,True,314
Who was Jane worrying without annoying Noah?,Who was Jane worrying Noah without annoying?,syntax,island_effects,adjunct_island,True,False,False,True,315
Who is Sarah shocking while stunning Galileo?,Who is Sarah shocking Galileo while stunning?,syntax,island_effects,adjunct_island,True,False,False,True,316
What can Judy pass after touring the malls?,What can Judy pass the malls after touring?,syntax,island_effects,adjunct_island,True,False,False,True,317
Who might this hospital conceal without describing Jessica?,Who might this hospital conceal Jessica without describing?,syntax,island_effects,adjunct_island,True,False,False,True,318
Who might some adults approach while helping William?,Who might some adults approach William while helping?,syntax,island_effects,adjunct_island,True,False,False,True,319
Who should Deanna aggravate before embarrassing Daniel?,Who should Deanna aggravate Daniel before embarrassing?,syntax,island_effects,adjunct_island,True,False,False,True,320
Who is Kristen firing before alarming Adam?,Who is Kristen firing Adam before alarming?,syntax,island_effects,adjunct_island,True,False,False,True,321
What will Rachelle explore after researching these lakes?,What will Rachelle explore these lakes after researching?,syntax,island_effects,adjunct_island,True,False,False,True,322
What has Jill researched while thinking about current events?,What has Jill researched current events while thinking about?,syntax,island_effects,adjunct_island,True,False,False,True,323
Who were most people revealing after admiring Curtis?,Who were most people revealing Curtis after admiring?,syntax,island_effects,adjunct_island,True,False,False,True,324
Who was a car scaring while distracting William?,Who was a car scaring William while distracting?,syntax,island_effects,adjunct_island,True,False,False,True,325
Who is Colleen hugging without finding the teenager?,Who is Colleen hugging the teenager without finding?,syntax,island_effects,adjunct_island,True,False,False,True,326
What is Ruth curing before concealing many cats?,What is Ruth curing many cats before concealing?,syntax,island_effects,adjunct_island,True,False,False,True,327
Who is every newspaper article disagreeing with after scaring Kimberley?,Who is every newspaper article disagreeing with Kimberley after scaring?,syntax,island_effects,adjunct_island,True,False,False,True,328
Who would Ann leave without confusing Sabrina?,Who would Ann leave Sabrina without confusing?,syntax,island_effects,adjunct_island,True,False,False,True,329
Who has Vanessa loved before embarrassing the actress?,Who has Vanessa loved the actress before embarrassing?,syntax,island_effects,adjunct_island,True,False,False,True,330
What was Andrea lifting before concealing all convertibles?,What was Andrea lifting all convertibles before concealing?,syntax,island_effects,adjunct_island,True,False,False,True,331
What should these spotlights look like while looking like many prints?,What should these spotlights look like many prints while looking like?,syntax,island_effects,adjunct_island,True,False,False,True,332
Who was some government bothering while referencing those guys?,Who was some government bothering those guys while referencing?,syntax,island_effects,adjunct_island,True,False,False,True,333
Who had Martin embarrassed before disturbing Nina?,Who had Martin embarrassed Nina before disturbing?,syntax,island_effects,adjunct_island,True,False,False,True,334
What is William discovering without thinking about the screen?,What is William discovering the screen without thinking about?,syntax,island_effects,adjunct_island,True,False,False,True,335
What was Peter passing without noticing a lot of lakes?,What was Peter passing a lot of lakes without noticing?,syntax,island_effects,adjunct_island,True,False,False,True,336
Who might a lot of dancers see before distracting Kristin?,Who might a lot of dancers see Kristin before distracting?,syntax,island_effects,adjunct_island,True,False,False,True,337
Who were the plates scaring after distracting Donna?,Who were the plates scaring Donna after distracting?,syntax,island_effects,adjunct_island,True,False,False,True,338
What was Debra breaking after cleaning some forks?,What was Debra breaking some forks after cleaning?,syntax,island_effects,adjunct_island,True,False,False,True,339
What should Raymond examine without talking about this play?,What should Raymond examine this play without talking about?,syntax,island_effects,adjunct_island,True,False,False,True,340
Who should that college campus embarrass after aggravating Theresa?,Who should that college campus embarrass Theresa after aggravating?,syntax,island_effects,adjunct_island,True,False,False,True,341
Who was Samuel working with while disgusting some patients?,Who was Samuel working with some patients while disgusting?,syntax,island_effects,adjunct_island,True,False,False,True,342
What is Douglas buying without admiring these closets?,What is Douglas buying these closets without admiring?,syntax,island_effects,adjunct_island,True,False,False,True,343
Who have the Impressionists listened to after criticizing Kevin?,Who have the Impressionists listened to Kevin after criticizing?,syntax,island_effects,adjunct_island,True,False,False,True,344
What had that teacher looked like after concealing that picture?,What had that teacher looked like that picture after concealing?,syntax,island_effects,adjunct_island,True,False,False,True,345
Who would current events disgust before boring Ruth?,Who would current events disgust Ruth before boring?,syntax,island_effects,adjunct_island,True,False,False,True,346
What can the waitress look like after discovering all pictures?,What can the waitress look like all pictures after discovering?,syntax,island_effects,adjunct_island,True,False,False,True,347
What was Elaine referencing before concealing the report?,What was Elaine referencing the report before concealing?,syntax,island_effects,adjunct_island,True,False,False,True,348
Who had Natalie investigated while healing Martin?,Who had Natalie investigated Martin while healing?,syntax,island_effects,adjunct_island,True,False,False,True,349
What was Debra breaking before noticing all glasses?,What was Debra breaking all glasses before noticing?,syntax,island_effects,adjunct_island,True,False,False,True,350
Who would Catherine hate after visiting Julia?,Who would Catherine hate Julia after visiting?,syntax,island_effects,adjunct_island,True,False,False,True,351
What did doctors arrive at after leaving a lot of lakes?,What did doctors arrive at a lot of lakes after leaving?,syntax,island_effects,adjunct_island,True,False,False,True,352
Who does Karen notice after boasting about Caroline?,Who does Karen notice Caroline after boasting about?,syntax,island_effects,adjunct_island,True,False,False,True,353
Who had Lisa discussed after irritating Sharon?,Who had Lisa discussed Sharon after irritating?,syntax,island_effects,adjunct_island,True,False,False,True,354
Who is Roger escaping from while revealing Monet?,Who is Roger escaping from Monet while revealing?,syntax,island_effects,adjunct_island,True,False,False,True,355
Who has Mary praised while talking about Lissa?,Who has Mary praised Lissa while talking about?,syntax,island_effects,adjunct_island,True,False,False,True,356
What has Linda arrived at before noticing some hospital?,What has Linda arrived at some hospital before noticing?,syntax,island_effects,adjunct_island,True,False,False,True,357
Who had John criticized after questioning Melissa?,Who had John criticized Melissa after questioning?,syntax,island_effects,adjunct_island,True,False,False,True,358
What is Roger skated around while arriving at that river?,What is Roger skated around that river while arriving at?,syntax,island_effects,adjunct_island,True,False,False,True,359
What was Kimberley cleaning without finding that cart?,What was Kimberley cleaning that cart without finding?,syntax,island_effects,adjunct_island,True,False,False,True,360
What has Suzanne scanned while describing commentaries?,What has Suzanne scanned commentaries while describing?,syntax,island_effects,adjunct_island,True,False,False,True,361
What had Caroline exited without talking about that lake?,What had Caroline exited that lake without talking about?,syntax,island_effects,adjunct_island,True,False,False,True,362
What was Janet messing up before messing up those public parks?,What was Janet messing up those public parks before messing up?,syntax,island_effects,adjunct_island,True,False,False,True,363
Who had Brett described while scaring Kirsten?,Who had Brett described Kirsten while scaring?,syntax,island_effects,adjunct_island,True,False,False,True,364
What had Roger ascended while noticing steps?,What had Roger ascended steps while noticing?,syntax,island_effects,adjunct_island,True,False,False,True,365
Who will some cashiers hide without attacking the Impressionists?,Who will some cashiers hide the Impressionists without attacking?,syntax,island_effects,adjunct_island,True,False,False,True,366
Who has Rose visited without listening to most dancers?,Who has Rose visited most dancers without listening to?,syntax,island_effects,adjunct_island,True,False,False,True,367
Who is Sally observing before disgusting this man?,Who is Sally observing this man before disgusting?,syntax,island_effects,adjunct_island,True,False,False,True,368
Who has Tammy approached after working with Becky?,Who has Tammy approached Becky after working with?,syntax,island_effects,adjunct_island,True,False,False,True,369
Who have the Impressionists disagreed with before complaining about Sheila?,Who have the Impressionists disagreed with Sheila before complaining about?,syntax,island_effects,adjunct_island,True,False,False,True,370
Who might Linda escape from without bothering Kathleen?,Who might Linda escape from Kathleen without bothering?,syntax,island_effects,adjunct_island,True,False,False,True,371
What is Jason noticing after thinking about all rugs?,What is Jason noticing all rugs after thinking about?,syntax,island_effects,adjunct_island,True,False,False,True,372
Who could Valerie appreciate before aggravating Tamara?,Who could Valerie appreciate Tamara before aggravating?,syntax,island_effects,adjunct_island,True,False,False,True,373
What would Julia wear while admiring a dress?,What would Julia wear a dress while admiring?,syntax,island_effects,adjunct_island,True,False,False,True,374
Who might pedestrians disagree with without leaving Natalie?,Who might pedestrians disagree with Natalie without leaving?,syntax,island_effects,adjunct_island,True,False,False,True,375
Who was Stacey returning to after embarrassing Emily?,Who was Stacey returning to Emily after embarrassing?,syntax,island_effects,adjunct_island,True,False,False,True,376
Who has Natalie fired before firing Judy?,Who has Natalie fired Judy before firing?,syntax,island_effects,adjunct_island,True,False,False,True,377
What have the Borgias examined while discovering this commentary?,What have the Borgias examined this commentary while discovering?,syntax,island_effects,adjunct_island,True,False,False,True,378
Who can a lot of legislatures work with before embarrassing Omar?,Who can a lot of legislatures work with Omar before embarrassing?,syntax,island_effects,adjunct_island,True,False,False,True,379
Who had Kayla referenced while fleeing from Samantha?,Who had Kayla referenced Samantha while fleeing from?,syntax,island_effects,adjunct_island,True,False,False,True,380
What have these adults passed before boycotting all schools?,What have these adults passed all schools before boycotting?,syntax,island_effects,adjunct_island,True,False,False,True,381
What could Kendra descend after hiding that hill?,What could Kendra descend that hill after hiding?,syntax,island_effects,adjunct_island,True,False,False,True,382
Who has that closet aggravated after confusing Steve?,Who has that closet aggravated Steve after confusing?,syntax,island_effects,adjunct_island,True,False,False,True,383
Who has George boasted about after distracting Roger?,Who has George boasted about Roger after distracting?,syntax,island_effects,adjunct_island,True,False,False,True,384
What was Meredith skated around after concealing public parks?,What was Meredith skated around public parks after concealing?,syntax,island_effects,adjunct_island,True,False,False,True,385
Who will all dresses embarrass without distracting this guest?,Who will all dresses embarrass this guest without distracting?,syntax,island_effects,adjunct_island,True,False,False,True,386
What has Julie lifted before going to this art gallery?,What has Julie lifted this art gallery before going to?,syntax,island_effects,adjunct_island,True,False,False,True,387
What were the children arriving at while finding every cafe?,What were the children arriving at every cafe while finding?,syntax,island_effects,adjunct_island,True,False,False,True,388
Who can every boy hide after criticizing Stacy?,Who can every boy hide Stacy after criticizing?,syntax,island_effects,adjunct_island,True,False,False,True,389
What did Holly return to before walking through Spain?,What did Holly return to Spain before walking through?,syntax,island_effects,adjunct_island,True,False,False,True,390
Who could Kenneth flee from after visiting Carolyn?,Who could Kenneth flee from Carolyn after visiting?,syntax,island_effects,adjunct_island,True,False,False,True,391
Who are most waitresses hiding before hiring Barbara?,Who are most waitresses hiding Barbara before hiring?,syntax,island_effects,adjunct_island,True,False,False,True,392
What does Holly look like after cleaning some pictures?,What does Holly look like some pictures after cleaning?,syntax,island_effects,adjunct_island,True,False,False,True,393
What have all waiters ascended after bringing some ladders?,What have all waiters ascended some ladders after bringing?,syntax,island_effects,adjunct_island,True,False,False,True,394
What had Jill discovered before noticing the cups?,What had Jill discovered the cups before noticing?,syntax,island_effects,adjunct_island,True,False,False,True,395
Who might Carlos work with while discovering Mary?,Who might Carlos work with Mary while discovering?,syntax,island_effects,adjunct_island,True,False,False,True,396
Who was Beverly disgusting after appreciating some students?,Who was Beverly disgusting some students after appreciating?,syntax,island_effects,adjunct_island,True,False,False,True,397
Who did some patients praise without listening to Benjamin?,Who did some patients praise Benjamin without listening to?,syntax,island_effects,adjunct_island,True,False,False,True,398
Who is Randolf confusing while approaching Galileo?,Who is Randolf confusing Galileo while approaching?,syntax,island_effects,adjunct_island,True,False,False,True,399
What should Dawn impress before criticizing a lot of banks?,What should Dawn impress a lot of banks before criticizing?,syntax,island_effects,adjunct_island,True,False,False,True,400
Who had the screen scared after shocking Ann?,Who had the screen scared Ann after shocking?,syntax,island_effects,adjunct_island,True,False,False,True,401
Who has Connie questioned while impressing Richard?,Who has Connie questioned Richard while impressing?,syntax,island_effects,adjunct_island,True,False,False,True,402
Who are some convertibles worrying before annoying Deborah?,Who are some convertibles worrying Deborah before annoying?,syntax,island_effects,adjunct_island,True,False,False,True,403
Who can all adults disagree with without concealing many senators?,Who can all adults disagree with many senators without concealing?,syntax,island_effects,adjunct_island,True,False,False,True,404
What would Tamara discover before irritating this committee?,What would Tamara discover this committee before irritating?,syntax,island_effects,adjunct_island,True,False,False,True,405
Who does Amanda find while thinking about Lucille?,Who does Amanda find Lucille while thinking about?,syntax,island_effects,adjunct_island,True,False,False,True,406
What did the Clintons lift after researching every art gallery?,What did the Clintons lift every art gallery after researching?,syntax,island_effects,adjunct_island,True,False,False,True,407
Who would Brett watch after attacking Gina?,Who would Brett watch Gina after attacking?,syntax,island_effects,adjunct_island,True,False,False,True,408
Who has Guy listened to after scaring this person?,Who has Guy listened to this person after scaring?,syntax,island_effects,adjunct_island,True,False,False,True,409
Who would Ronald talk to after escaping from a lot of actors?,Who would Ronald talk to a lot of actors after escaping from?,syntax,island_effects,adjunct_island,True,False,False,True,410
What was Lawrence healing after finding many snakes?,What was Lawrence healing many snakes after finding?,syntax,island_effects,adjunct_island,True,False,False,True,411
Who had Mitchell respected while impressing Travis?,Who had Mitchell respected Travis while impressing?,syntax,island_effects,adjunct_island,True,False,False,True,412
Who would Dawn bore without thinking about Allison?,Who would Dawn bore Allison without thinking about?,syntax,island_effects,adjunct_island,True,False,False,True,413
Who were most drivers watching while hurting Cindy?,Who were most drivers watching Cindy while hurting?,syntax,island_effects,adjunct_island,True,False,False,True,414
What has Brian bought before messing up some plate?,What has Brian bought some plate before messing up?,syntax,island_effects,adjunct_island,True,False,False,True,415
What might Karla take without wearing every sweater?,What might Karla take every sweater without wearing?,syntax,island_effects,adjunct_island,True,False,False,True,416
What could Marcus research while walking through that public park?,What could Marcus research that public park while walking through?,syntax,island_effects,adjunct_island,True,False,False,True,417
What might Timothy lift before buying many movie theaters?,What might Timothy lift many movie theaters before buying?,syntax,island_effects,adjunct_island,True,False,False,True,418
What has Lisa referenced before examining that essay?,What has Lisa referenced that essay before examining?,syntax,island_effects,adjunct_island,True,False,False,True,419
Who are these lakes alarming after annoying Beth?,Who are these lakes alarming Beth after annoying?,syntax,island_effects,adjunct_island,True,False,False,True,420
What was Laura breaking while breaking every vase?,What was Laura breaking every vase while breaking?,syntax,island_effects,adjunct_island,True,False,False,True,421
What has Clyde toured without researching that closet?,What has Clyde toured that closet without researching?,syntax,island_effects,adjunct_island,True,False,False,True,422
What will Candice resemble without concealing the print?,What will Candice resemble the print without concealing?,syntax,island_effects,adjunct_island,True,False,False,True,423
What was Tracy scaring before boycotting the committees?,What was Tracy scaring the committees before boycotting?,syntax,island_effects,adjunct_island,True,False,False,True,424
Who did Galileo cure after healing Karla?,Who did Galileo cure Karla after healing?,syntax,island_effects,adjunct_island,True,False,False,True,425
Who is Lawrence questioning while disgusting Cheryl?,Who is Lawrence questioning Cheryl while disgusting?,syntax,island_effects,adjunct_island,True,False,False,True,426
Who had Derek alarmed while approaching Carl?,Who had Derek alarmed Carl while approaching?,syntax,island_effects,adjunct_island,True,False,False,True,427
What will some adults discover while astounding every committee?,What will some adults discover every committee while astounding?,syntax,island_effects,adjunct_island,True,False,False,True,428
Who were those lamps shocking after stunning Russell?,Who were those lamps shocking Russell after stunning?,syntax,island_effects,adjunct_island,True,False,False,True,429
Who has some shoe scared after upsetting Aaron?,Who has some shoe scared Aaron after upsetting?,syntax,island_effects,adjunct_island,True,False,False,True,430
What has Ann sold after running around every high school?,What has Ann sold every high school after running around?,syntax,island_effects,adjunct_island,True,False,False,True,431
Who could Emily talk to while shocking Amy?,Who could Emily talk to Amy while shocking?,syntax,island_effects,adjunct_island,True,False,False,True,432
What was Monica examining before insulting all essays?,What was Monica examining all essays before insulting?,syntax,island_effects,adjunct_island,True,False,False,True,433
Who can many people confuse after describing Regina?,Who can many people confuse Regina after describing?,syntax,island_effects,adjunct_island,True,False,False,True,434
Who is Cindy upsetting before concealing Melanie?,Who is Cindy upsetting Melanie before concealing?,syntax,island_effects,adjunct_island,True,False,False,True,435
Who can Galileo return to after investigating Phillip?,Who can Galileo return to Phillip after investigating?,syntax,island_effects,adjunct_island,True,False,False,True,436
What is a doctor cleaning without revealing some screens?,What is a doctor cleaning some screens without revealing?,syntax,island_effects,adjunct_island,True,False,False,True,437
Who had this teacher attacked before bothering Marie?,Who had this teacher attacked Marie before bothering?,syntax,island_effects,adjunct_island,True,False,False,True,438
