text,span1_index,span2_index,span1_text,span2_text,idx,label
Madonna fired her trainer because she couldn't stand her boyfriend.,0,8,Madonna,her,252,0
"As Ollie carried Tommy up the long winding steps, his legs dangled.",1,9,Ollie,his,253,0
I put the heavy book on the table and it broke.,2,9,The heavy book,it,254,0
Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very ill.,0,12,Bob,He,255,1
The fish ate the worm . It was hungry.,0,6,The fish,It,256,1
"When Mr. Bond , the veterinarian, came to look at the black horse that lay groaning on the grass, he felt him all over, and shook his head; one of his legs was broken.",10,19,the black horse,he,257,0
John couldn't see the stage with Billy in front of him because he is so tall.,0,12,John,he,258,0
Frank felt crushed when his longtime rival Bill revealed that he was the winner of the competition.,7,10,Bill,he,259,1
The politicians far away in Washington could not know the settlers so they must make rules to regulate them .,10,18,settlers,them,260,1
Susan knows all about Ann 's personal problems because she is indiscreet.,4,9,Ann,she,261,1
Steve follows Fred 's example in everything. He influences him hugely.,2,7,Fred,He,262,1
"We went to the lake , because a shark had been seen at the ocean beach , so it was a safer place to swim.",3,18,The lake,it,263,1
"Mark was close to Mr. Singer 's heels. He heard him calling for the captain , promising him, in the jargon everyone talked that night, that not one thing should be damaged on the ship except only the ammunition, but the captain and all his crew had best stay in the cabin until the work was over.",4,44,Mr. Singer,his,264,0
"During a game of tag, Ethan ran from Luke because he was ""it"".",8,10,Luke,he,265,1
"I asked Dave to get me my sweater from the other side of the yacht . While he was gone, I rested my arm on the rail over there and suddenly it gave way.",26,31,rail,it,266,1
"The mothers of Arthur and Celeste have come to the town to fetch them. They are very happy to have them back, but they scold them just the same because they ran away.",3,14,Arthur and Celeste,They,267,0
"Jane knocked on the door, and Susan answered it. She invited her to come out.",6,9,Susan,She,268,0
"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. They were very much in the majority.",1,23,The sponsors,They,269,0
"The mothers of Arthur and Celeste have come to the town to fetch them. They are very happy to have them back, but they scold them just the same because they ran away.",3,23,Arthur and Celeste,they,270,0
"Dan took the rear seat while Bill claimed the front because his ""Dibs!"" was quicker.",6,11,Bill,his,271,1
"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply too many of them .",12,23,chairs,them,272,1
"The journalists interviewed the stars of the new movie. They were very cooperative, so the interview lasted for a long time.",3,9,The stars,They,273,1
"Alice looked for her friend Jade in the crowd. Since she always wears a red turban, Alice spotted her quickly.",0,10,Alice,she,274,0
"After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm. She did not mention the incident at the Hamilton bus station, knowing it would only add to Mrs. Gruen’s uneasiness.",7,17,the housekeeper,She,275,0
"My master and mistress decided to pay a visit to some friends who lived about forty-six miles from our home, and James was to drive them .",10,25,some friends,them,276,0
"The pony behaved well, sir, and showed no vice; but at last he just threw up his heels and tipped the young gentleman into the thorn hedge. He wanted me to help him out, but I hope you will excuse me, sir, I did not feel inclined to do so.",1,27,pony,He,277,0
Jim comforted Kevin because he was so upset.,2,4,Kevin,he,278,1
"As Andrea in the crop duster passed over Susan , she could see the landing strip.",1,10,Andrea,she,279,1
"When Mr. Bond , the veterinarian, came to look at the black horse that lay groaning on the grass, he felt him all over, and shook his head; one of his legs was broken.",1,30,Mr. Bond,his,280,0
Dan had to stop Bill from toying with the injured bird. He is very cruel.,4,11,Bill,He,281,1
Emma did not pass the ball to Janie although she saw that she was open.,7,9,Janie,she,282,0
"The dog chased the cat , which ran up a tree. It waited at the bottom.",3,11,The cat,It,283,0
"Ann asked Mary what time the library closes, because she had forgotten.",0,9,Ann,she,284,1
"Beth didn't get angry with Sally , who had cut her off, because she stopped and counted to ten.",5,13,Sally,she,285,0
"I stuck a pin through a carrot. When I pulled the pin out, it had a hole.",10,13,The pin,it,286,0
"When Tommy dropped his ice cream, Timmy giggled, so father gave him a stern look.",6,11,Timmy,him,287,1
I couldn't put the pot on the shelf because it was too high.,3,9,The pot,it,288,0
I took the water bottle out of the backpack so that it would be handy.,2,11,The water bottle,it,289,1
John was jogging through the park when he saw a man juggling watermelons. He was very impressive.,0,13,John,He,290,0
Carol believed that Rebecca regretted that she had stolen the watch.,0,6,Carol,she,291,0
So Mark slept. It was daylight when he woke with Warren 's hand upon his shoulder.,1,14,Mark,his,292,1
John hired him self out to Bill to take care of him .,0,2,John,him,293,0
Carol believed that Rebecca suspected that she had stolen the watch.,0,6,Carol,she,294,1
"The cat was lying by the mouse hole waiting for the mouse , but it was too impatient.",0,14,The cat,it,295,1
"It is not easy to space buttonholes exactly the same distance apart, and it is very difficult to cut them precisely the right size . The tiniest slip of the scissors will make the hole too large, and even one thread uncut will leave it too small.",27,44,slip,it,296,0
"We went to the lake , because a shark had been seen at the ocean beach , so it was a dangerous place to swim.",13,18,The ocean beach,it,297,1
"Ann asked Mary what time the library closes, but she had forgotten.",0,9,Ann,she,298,0
"After I saw Bill catching flies and pulling off their wings, I boxed his ears. I showed the master the flies, some crushed and some crawling about helpless, and I showed him the wings on the window sill. I never saw him so angry before; but as Bill was still howling and whining, like the coward that he was, he did not give him any more punishment of that kind, but set him up on a stool for the rest of the afternoon, and said that he should not go out to play for that week.",3,41,Bill,him,299,0
The trophy doesn't fit into the brown suitcase because it is too small.,0,9,the trophy,it,300,0
Dr. Adams informed Kate that she had cancer and presented several options for future treatment.,3,5,Kate,she,301,1
The foxes are getting in at night and attacking the chickens . They have gotten very nervous.,0,12,The foxes,They,302,0
"Mary tucked her daughter Anne into bed, so that she could sleep.",0,9,Mary,she,303,0
"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father , he was twelve years old.",0,21,Fred,he,304,1
Fred is the only man still alive who remembers my great-grandfather . He is a remarkable man.,0,12,Fred,He,305,1
"Then he took a piece of iron the shape of the horse horse's foot , and clapped it on, and drove some nails through the shoe quite into its hoof, so that the shoe was firmly on",11,17,horse,it,306,0
Susan knows all about Ann 's personal problems because she is nosy.,4,9,Ann,she,307,0
"Tom said ""Check"" to Ralph as he moved his bishop.",4,8,Ralph,his,308,0
"The user changed his password from "" GrWQWu8JyC "" to "" willow-towered Canopy Huntertropic wrestles "" as it was easy to remember.",7,17,GrWQWu8JyC,it,309,0
"I asked Dave to get me my sweater from the other side of the yacht . While he was gone, I rested my arm on the rail over there and suddenly it gave way.",7,31,sweater,it,310,0
I poured water from the bottle into the cup until it was empty.,7,10,the cup,it,311,0
Tom threw his schoolbag down to Ray after he reached the bottom of the stairs.,6,8,Ray,he,312,1
The man lifted the boy onto his shoulders.,0,6,The man,his,313,1
"It is not easy to space buttonholes exactly the same distance apart, and it is very difficult to cut them precisely the right size . The tiniest slip of the scissors will make the hole too large, and even one thread uncut will leave it too small.",33,44,the hole,it,314,1
"Jackson was greatly influenced by Arnold , though he lived two centuries later.",0,8,Jackson,he,315,1
A man's life and a horse's life are worth more than some foxes' tails ; al least they ought to be.,0,17,a man's life and a horse's life,they,316,1
Mama came over and sat down beside Alice . Gently she stroked her hair and let the child weep.,7,12,Alice,her,317,1
"When Mr. Bond , the veterinarian, came to look at the black horse that lay groaning on the grass, he felt him all over, and shook his head; one of his legs was broken.",10,26,the black horse,his,318,0
Frank felt crushed when his longtime rival Bill revealed that he was the winner of the competition.,0,10,Frank,he,319,0
"Jane knocked on Susan 's door, but there was no answer. She was out.",0,11,Jane,She,320,0
"Susan knew that Ann 's son had been in a car accident, so she told her about it.",0,13,Susan,she,321,1
"The mothers of Arthur and Celeste have come to the town to fetch them . They are very happy to have them back, but they scold them just the same because they ran away. them .",1,13,mothers,them,322,0
"I used an old rag to clean the knife , and then I put it in the drawer.",7,14,The knife,it,323,1
"Babar wonders how he can get new clothing. Luckily, a very rich old man who has always been fond of little elephants understands right away that he is longing for a fine suit. As he likes to make people happy, he gives him his wallet.",12,40,old man,he,324,1
"Fred was supposed to run the dishwasher , but he put it off, because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned it on.",5,34,The dishwasher,it,325,1
"I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know why he was, but he looked very unhappy.",2,20,Jim,he,326,1
"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be here by this time.",6,20,Bob,he,327,1
The father carried the sleeping boy in his arms,0,7,The father,his,328,1
"Lily spoke to Donna , breaking her concentration.",0,6,Lily,her,329,0
"I asked Dave to get me my sweater from the other side of the yacht . While he was gone, I rested my arm on the rail over there and suddenly it gave way.",23,31,arm,it,330,0
"When Mr. Bond , the veterinarian, came to look at the black horse that lay groaning on the grass, he felt him all over, and shook his head; one of his legs was broken.",1,21,Mr. Bond,him,331,0
I put the heavy book on the table and it broke.,6,9,The table,it,332,1
"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father , he was twelve months old.",9,21,My father,he,333,1
Sara borrowed the book from the library because she needs it for an article she is working on. She reads it when she gets home from work.,2,10,The book,it,334,1
James asked Robert for a favor but he was refused.,0,7,James,he,335,1
"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father , he was twelve months old.",0,21,Fred,he,336,0
"The table was piled high with food , and on the floor beside it there were crocks, baskets, and a five-quart pail of milk.",1,13,table,it,337,1
Thomson visited Cooper 's grave in 1765. At that date he had been dead for five years.,2,10,Cooper,he,338,1
"Even before they reached town , they could hear a sound like corn popping. Dora asked what it was, and Dad said it was firecrackers.",10,17,sound,it,339,1
"If the con artist has succeeded in fooling Sam , he would have lost a lot of money.",1,10,The con artist,he,340,0
"The lawyer asked the witness a question, but he was reluctant to repeat it.",3,8,the witness,he,341,0
"If the con artist has succeeded in fooling Sam , he would have gotten a lot of money.",8,10,Sam,he,342,0
"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be here by this time.",0,20,Adam,he,343,0
The table won't fit through the doorway because it is too narrow.,5,8,The doorway,it,344,1
Jim yelled at Kevin because he was so upset.,3,5,Kevin,he,345,0
"The donkey wished a wart on its hind leg would disappear, and it did.",8,12,leg,it,346,0
"Fred and Alice had very warm down coats , but they were not enough for the cold in Alaska.",7,10,coats,they,347,1
"The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started, it was out.",0,18,The sun,it,348,1
"Although they ran at about the same speed, Sue beat Sally because she had such a bad start.",8,12,Sue,she,349,0
Mama came over and sat down beside Alice . Gently she stroked her hair and let the child weep.,0,12,Mama,her,350,0
Kirilov ceded the presidency to Shatov because he was more popular.,0,7,Kirilov,he,351,0
"The donkey wished a wart on its hind leg would disappear, and it did.",1,12,donkey,it,352,0
"Tatyana managed two guitars and a bag , and still could point out the Freemans : ""Isn't it nice that they have come, Mama!""",2,20,two guitars and a bag,they,353,0
"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because it was cooler.",6,31,The dog,it,354,0
"Mark was close to Mr. Singer 's heels. He heard him calling for the captain , promising him, in the jargon everyone talked that night, that not one thing should be damaged on the ship except only the ammunition, but the captain and all his crew had best stay in the cabin until the work was over.",13,44,the captain,his,355,1
"When Mr. Bond , the veterinarian, came to look at the black horse that lay groaning on the grass, he felt him all over, and shook his head; one of his legs was broken.",10,21,the black horse,him,356,1
This book introduced Shakespeare to Ovid ; it was a fine selection of his writing.,3,13,Shakespeare,his,357,0
"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have lost.",5,20,Adam,he,358,1
No one joins Facebook to be sad and lonely. But a new study from the University of Wisconsin psychologist George Lincoln argues that that's exactly how it makes us feel.,3,26,Facebook,it,359,1
"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, it was short, so it worked out.",10,20,The train,it,360,0
"Paul tried to call George on the phone, but he wasn't available.",0,9,Paul,he,361,0
The woman held the girl against her chest,3,6,The girl,her,362,0
Many people start to read Paul's books and can't put them down. They are gripped because Paul writes so well.,5,12,Paul's books,They,363,0
Anna did a lot worse than her good friend Lucy on the test because she had studied so hard.,9,14,Lucy,she,364,1
"We went to the lake , because a shark had been seen at the ocean beach , so it was a dangerous place to swim.",3,18,The lake,it,365,0
This book introduced Shakespeare to Goethe ; it was a fine selection of his writing.,3,13,Shakespeare,his,366,1
"Jackson was greatly influenced by Arnold , though he lived two centuries later.",5,8,Arnold,he,367,0
"As Ollie carried Tommy up the long winding steps, his legs dangled.",3,9,Tommy,his,368,1
"In July, Kamtchatka declared war on Yakutsk . Since Yakutsk 's army was much better equipped and ten times larger, they were victorious within weeks.",6,20,Yakutsk,they,369,1
"The donkey wished a wart on its hind leg would disappear, and it did.",4,12,wart,it,370,1
The city councilmen refused the demonstrators a permit because they feared violence.,4,9,The demonstrators,they,371,0
"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for evidence on the river banks.",0,11,Archaeologists,They,372,1
"Our mistress hired a room for my crippled sister Nelly , and she gave her knitting and needlework when she was able to do it, and when she was ill she sent her dinners and many nice comfortable things and was like a mother to her.",9,27,Nelly,she,373,1
"Our mistress hired a room for my crippled sister Nelly , and she gave her knitting and needlework when she was able to do it, and when she was ill she sent her dinners and many nice comfortable things and was like a mother to her.",9,14,Nelly,her,374,1
Bob paid for Charlie 's college education. He is very grateful.,0,7,Bob,He,375,0
"Fred and Alice had very warm down coats , but they were not prepared for the cold in Alaska.",7,10,coats,they,376,0
"Tom said ""Check"" to Ralph as he took his bishop.",0,8,Tom,his,377,0
"Jane knocked on Susan 's door, but there was no answer. She was out.",3,11,Susan,She,378,1
"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough of them .",12,23,chairs,them,379,0
"The user changed his password from "" GrWQWu8JyC "" to "" willow-towered Canopy Huntertropic wrestles "" as it was easy to forget.",11,17,"willow-towered Canopy
Huntertropic wrestles",it,380,0
"After I saw Bill catching flies and pulling off their wings, I boxed his ears. I showed the master the flies, some crushed and some crawling about helpless, and I showed him the wings on the window sill. I never saw him so angry before; but as Bill was still howling and whining, like the coward that he was, he did not give him any more punishment of that kind, but set him up on a stool for the rest of the afternoon, and said that he should not go out to play for that week.",17,63,the master,him,381,0
"Our mistress hired a room for my crippled sister Nelly , and she gave her knitting and needlework when she was able to do it, and when she was ill she sent her dinners and many nice comfortable things and was like a mother to her.",9,19,Nelly,she,382,1
The table won't fit through the doorway because it is too wide.,5,8,The doorway,it,383,0
"Lionel is holding captive a scientist, Dr. Vardi , who has invented a device that turns animals invisible; Lionel plans to use it on Geoffrey and send him to steal nuclear material from an army vault.",24,27,Geoffrey,him,384,1
Steve follows Fred 's example in everything. He admires him hugely.,2,7,Fred,He,385,0
"Mark was close to Mr. Singer 's heels. He heard him calling for the captain, promising him, in the jargon everyone talked that night, that not one thing should be damaged on the ship except only the ammunition, but the captain and all his crew had best stay in the cabin until the work was over.",0,10,Mark,him,386,0
"Mark told Pete many lies about himself, which Pete included in his book. He should have been more truthful.",2,13,Pete,He,387,0
"Sir Clifford wants me to find him a new groom , about twenty or twenty-one, who knows his business. His old coachman is getting feeble, and he wants a man to work with him and get into his ways, who would be able, when the old man was pensioned off, to step into his place.",8,37,new groom,his,388,0
Jim comforted Kevin because he was so upset.,0,4,Jim,he,389,0
John couldn't see the stage with Billy in front of him because he is so short.,0,12,John,he,390,1
"John ordered Bill to leave, so an hour later he left.",0,9,John,he,391,0
"When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her , undressing and climbing back into her berth.",6,5,mother,her,392,1
"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be gone by this time.",6,20,Bob,he,393,0
"Dan took the rear seat while Bill claimed the front because his ""Dibs!"" was quicker.",0,11,Dan,his,394,0
The foxes are getting in at night and attacking the chickens . I shall have to kill them .,9,17,The chickens,them,395,0
Mark heard Steve 's feet going down the ladder. The door of the shop closed after him . He ran to look out the window.,0,16,Mark,him,396,0
"After I saw Bill catching flies and pulling off their wings, I boxed his ears. I showed the master the flies, some crushed and some crawling about helpless, and I showed him the wings on the window sill. I never saw him so angry before; but as Bill was still howling and whining, like the coward that he was, he did not give him any more punishment of that kind, but set him up on a stool for the rest of the afternoon, and said that he should not go out to play for that week.",3,59,Bill,he,397,0
"The dog chased the cat , which ran up a tree. It waited at the bottom.",0,11,The dog,It,398,1
"Sir Clifford wants me to find him a new groom , about twenty or twenty-one, who knows his business. His old coachman is getting feeble, and he wants a man to work with him and get into his ways, who would be able, when the old man was pensioned off, to step into his place",8,17,new groom,his,399,1
The man couldn't lift his son because he was so heavy.,0,7,The man,he,400,0
Emma did not pass the ball to Janie although she was open.,0,9,Emma,she,401,0
"Although they ran at about the same speed, Sue beat Sally because she had such a good start.",8,12,Sue,she,402,1
Madonna fired her trainer because she couldn't stand her boyfriend.,0,5,Madonna,she,403,1
"Babar wonders how he can get new clothing. Luckily, a very rich old man who has always been fond of little elephants understands right away that he is longing for a fine suit. As he likes to make people happy, he gives him his wallet.",12,43,old man,his,404,1
"In the middle of the outdoor concert, the rain started falling, but it continued until 10.",7,12,The rain,it,405,0
"George got free tickets to the play, but he gave them to Eric , even though he was particularly eager to see it.",0,16,George,he,406,1
"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because it was hot.",6,31,The dog,it,407,1
Dan had to stop Bill from toying with the injured bird. He is very cruel.,0,11,Dan,He,408,0
"Susan knew that Ann 's son had been in a car accident, so she told her about it.",3,13,Ann,she,409,0
"Even before they reached town , they could hear a sound like corn popping. Dora asked what it was, and Dad said it was firecrackers.",12,17,corn,it,410,0
"The mothers of Arthur and Celeste have come to the town to fetch them. They are very happy to have them back, but they scold them just the same because they ran away.",3,30,Arthur and Celeste,they,411,1
Mark heard Steve 's feet going down the ladder. The door of the shop closed after him. He ran to look out the window.,0,17,Mark,He,412,1
"Sir Clifford wants me to find him a new groom , about twenty or twenty-one, who knows his business. His old coachman is getting feeble, and he wants a man to work with him and get into his ways, who would be able, when the old man was pensioned off, to step into his place.",8,19,new groom,His,413,0
"As Andrea in the crop duster passed over Susan , she could see the landing gear.",8,10,Susan,she,414,1
"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have won.",5,20,Adam,he,415,0
The foxes are getting in at night and attacking the chickens . I shall have to kill them .,0,17,The foxes,them,416,1
"During a game of tag, Ethan ran from Luke because he was ""it"".",5,10,Ethan,he,417,0
"Equally swoon-worthy is C.K. Dexter Haven , a pallid young dandy holding a jade-handled walking stick, with a poodle asleep at his feet",18,21,poodle,his,418,0
The woman held the girl against her will.,3,6,The girl,her,419,1
"We saw a boy trying to leap a pony over a gate; the pony would not take the leap, and the boy cut him with the whip, but he only turned to one side.",8,28,pony,he,420,1
Anna did a lot better than her good friend Lucy on the test because she had studied so hard.,0,14,Anna,she,421,1
Many people start to read Paul's books and can't put them down. They are popular because Paul writes so well.,1,12,People,They,422,0
"Our mistress hired a room for my crippled sister Nelly , and she gave her knitting and needlework when she was able to do it, and when she was ill she sent her dinners and many nice comfortable things and was like a mother to her.",1,19,mistress,she,423,0
"When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her, undressing and climbing back into her berth.",1,21,Tatyana,her,424,1
Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very concerned.,8,12,Carl,He,425,1
"After I saw Bill catching flies and pulling off their wings, I boxed his ears. I showed the master the flies, some crushed and some crawling about helpless, and I showed him the wings on the window sill. I never saw him so angry before; but as Bill was still howling and whining, like the coward that he was, he did not give him any more punishment of that kind, but set him up on a stool for the rest of the afternoon, and said that he should not go out to play for that week.",3,72,Bill,him,426,1
I put the butterfly wing on the table and it broke.,2,9,The butterfly wing,it,427,1
"Jane knocked on Susan 's door, but there was no answer. She was disappointed.",0,11,Jane,She,428,1
"It is not easy to space buttonholes exactly the same distance apart, and it is very difficult to cut them precisely the right size . The tiniest slip of the scissors will make the hole too large, and even one thread uncut will leave it too small.",29,44,the scissors,it,429,0
"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get it repaired.",3,20,The tree,it,430,0
"Since it was raining, I carried the newspaper in my backpack to keep it dry.",6,13,The newspaper,it,431,1
John hired him self out to Bill to take care of him .,6,2,Bill,him,432,1
"Emma's mother had died long ago, and her place had been taken by an excellent woman as governess.",0,7,Emma,her,433,0
Many people start to read Paul's books and can't put them down. They are popular because Paul writes so well.,5,12,Paul's books,They,434,1
"Emma Emma's mother had died long ago, and her education had been managed by an excellent woman as governess.",0,8,Emma,her,435,1
Susan knows all about Ann 's personal problems because she is indiscreet.,0,9,Susan,she,436,0
"Bob paid for Charlie 's college education, but now Charlie acts as though it never happened. He is very hurt.",3,16,Charlie,He,437,0
Dan had to stop Bill from toying with the injured bird. He is very compassionate.,4,11,Bill,He,438,0
Jim yelled at Kevin because he was so upset.,0,5,Jim,he,439,1
"The mothers of Arthur and Celeste have come to the town to fetch them. They are very happy to have them back, but they scold them just the same because they ran away.",3,20,Arthur and Celeste,them,440,1
Joe paid the detective after he received the final report on the case.,0,5,Joe,he,441,1
"Susan knew that Ann 's son had been in a car accident, because she told her about it.",3,13,Ann,she,442,1
Jane knocked on Susan 's door but she did not get an answer.,0,7,Jane,she,443,1
"As Andrea in the crop duster passed over Susan , she could see the landing gear.",1,10,Andrea,she,444,0
"Tom said ""Check"" to Ralph as he took his bishop.",4,8,Ralph,his,445,1
The drain is clogged with hair. It has to be removed.,0,6,The drain,It,446,0
"Mark was close to Mr. Singer 's heels. He heard him calling for the captain, promising him, in the jargon everyone talked that night, that not one thing should be damaged on the ship except only the ammunition, but the captain and all his crew had best stay in the cabin until the work was over.",4,10,Mr. Singer,him,447,1
"The pony behaved well, sir, and showed no vice; but at last he just threw up his heels and tipped the young gentleman into the thorn hedge. He wanted me to help him out, but I hope you will excuse me, sir, I did not feel inclined to do so.",21,32,young gentleman,him,448,1
Jim signaled the barman and gestured toward his bathroom key.,0,7,Jim,his,449,0
"There is a pillar between me and the stage , and I can't see it .",7,14,The stage,it,450,1
"When my parents died, I was not earning enough to keep myself or my crippled sister Nelly , and without our kind mistress , we would have gone to the poorhouse. Nelly calls her her angel and she has good right to do so. her",16,33,Nelly,her,451,0
"When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her, undressing and climbing back into her berth.",6,9,mother,She,452,0
"The boy continued to whip the pony , and eventually the pony threw him over. John laughed out quite loud. ""Good for him,"" he said. ",15,22,John,him,453,0
Dr. Adams informed Kate that she had retired and presented several options for future treatment.,3,5,Kate,she,454,0
Of one thing Mark was sure. Harry knew much less than he did.,3,11,Mark,he,455,1
Tom threw his schoolbag down to Ray after he reached the bottom of the stairs.,0,8,Tom,he,456,0
"Lionel is holding captive a scientist, Dr. Vardi , who has invented a device that turns animals invisible; Lionel plans to use it on Geoffrey and send him to steal nuclear material from an army vault.",6,27,Dr. Vardi,him,457,0
"Mark told Pete many lies about himself, which Pete included in his book. He should have been more truthful.",0,13,Mark,He,458,1
The foxes are getting in at night and attacking the chickens . I shall have to guard them .,0,17,The foxes,them,459,0
"Lily spoke to Donna , breaking her concentration.",3,6,Donna,her,460,1
John hired Bill to take care of him .,0,7,John,him,461,1
"Alice looked for her friend Jade in the crowd. Since she always wears a red turban, Alice spotted her quickly.",5,10,Jade,she,462,1
"I sat there feeling rather like a chappie I'd once read about in a book , who murdered another cove and hid the body under the dining-room table , and then had to be the life and soul of a dinner party, with it there all the time.",14,43,book,it,463,0
"After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm. She did not mention the incident at the Hamilton bus station, knowing it would only add to Mrs. Gruen’s uneasiness.",5,17,Nancy,She,464,1
"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get it removed.",3,20,The tree,it,465,1
"The dog chased the cat , which ran up a tree. It waited at the top.",0,11,The dog,It,466,0
"Grant worked hard to harvest his beans so he and his family would have enough to eat that winter, His friend Henry let him stack them in his barn where they would dry. Later, he and Tatyana would shell them and cook them for their Sunday dinners.",34,44,he and Tatyana,their,467,1
"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get it removed.",10,20,The roof,it,468,0
"Our mistress hired a room for my crippled sister Nelly , and she gave her knitting and needlework when she was able to do it, and when she was ill she sent her dinners and many nice comfortable things and was like a mother to her.",1,27,mistress,she,469,0
Do you suppose that Peter is responsible for the captain ’s illness? Maybe he bribed the cook to put something in his food.,8,13,the captain,he,470,0
"The cat was lying by the mouse hole waiting for the mouse , but it was too impatient.",5,14,The mouse,it,471,0
"The dog chased the cat , which ran up a tree. It waited at the top.",3,11,The cat,It,472,1
"The journalists interviewed the stars of the new movie. They were very persistent, so the interview lasted for a long time.",3,9,The stars,They,473,0
"Sir Clifford wants me to find him a new groom , about twenty or twenty-one, who knows his business. His old coachman is getting feeble, and he wants a man to work with him and get into his ways, who would be able, when the old man was pensioned off, to step into his place",0,53,Sir Clifford,his,474,0
The sculpture rolled off the shelf because it wasn't anchored.,4,7,The shelf,it,475,0
"Tatyana knew that Grandma always enjoyed serving an abundance of food to her guests. Now Tatyana watched as Grandma gathered Tatyana 's small mother into a wide, scrawny embrace and then propelled her to the table, lifting her shawl from her shoulders, seating her in the place of honor, and saying simply: ""There's plenty.""",3,12,Grandma,her,476,0
Carol believed that Rebecca suspected that she had stolen the watch.,3,6,Rebecca,she,477,0
A man's life and a horse's life are worth more than some foxes' tails ; al least they ought to be.,12,17,foxes' tails,they,478,0
"Although they ran at about the same speed, Sue beat Sally because she had such a bad start.",10,12,Sally,she,479,1
The delivery truck zoomed by the school bus because it was going so fast.,5,9,the school bus,it,480,0
"I sat there feeling rather like a chappie I'd once read about in a book , who murdered another cove and hid the body under the dining-room table , and then had to be the life and soul of a dinner party, with it there all the time.",27,43,table,it,481,0
The police arrested all of the gang members . They were trying to run the drug trade in the neighborhood.,0,9,The police,They,482,0
"I stuck a pin through a carrot. When I pulled the pin out, it left a hole.",10,13,The pin,it,483,1
"After I saw Bill catching flies and pulling off their wings, I boxed his ears. I showed the master the flies, some crushed and some crawling about helpless, and I showed him the wings on the window sill. I never saw him so angry before; but as Bill was still howling and whining, like the coward that he was, he did not give him any more punishment of that kind, but set him up on a stool for the rest of the afternoon, and said that he should not go out to play for that week.",3,57,Bill,he,484,1
"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father , he was twelve years old.",9,21,My father,he,485,0
"The older students were bullying the younger ones, so we rescued them .",0,11,The older students,them,486,0
"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have lost.",0,20,Bob,he,487,0
"When Mr. Bond , the veterinarian, came to look at the black horse that lay groaning on the grass, he felt him all over, and shook his head; one of his legs was broken.",1,26,Mr. Bond,his,488,1
"The pony behaved well, sir, and showed no vice; but at last he just threw up his heels and tipped the young gentleman into the thorn hedge. He wanted me to help him out, but I hope you will excuse me, sir, I did not feel inclined to do so.",1,32,pony,him,489,0
The father carried the sleeping boy in his bassinet.,0,7,The father,his,490,0
Mama came over and sat down beside Alice . Gently she stroked her hair and let the child weep.,0,10,Mama,she,491,1
"Jackson was greatly influenced by Arnold , though he lived two centuries earlier.",5,8,Arnold,he,492,1
This book introduced Shakespeare to Goethe ; it was a fine selection of his writing.,5,13,Goethe,his,493,0
"Babar wonders how he can get new clothing. Luckily, a very rich old man who has always been fond of little elephants understands right away that he is longing for a fine suit. As he likes to make people happy, he gives him his wallet.",12,42,old man,him,494,0
"The user changed his password from "" GrWQWu8JyC "" to "" willow-towered Canopy Huntertropic wrestles "" as it was easy to forget.",7,17,GrWQWu8JyC,it,495,1
The police arrested all of the gang members . They were trying to stop the drug trade in the neighborhood.,5,9,The gang members,They,496,0
The fish ate the worm . It was hungry.,3,6,The worm,It,497,0
The woman held the girl against her will.,0,6,The woman,her,498,0
Joe paid the detective after he received the final report on the case.,2,5,the detective,he,499,0
