"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"goofy , nutty , consistently [[funny]] . and [[educational]] !","goofy , nutty , consistently [[bizarre]] . and [[upbringing]] !",0.06376278400421143,0.88307785987854,1,0,1,34,"Successful"
"not a schlocky [[creature]] [[feature]] but something [[far]] more [[stylish]] and cerebral--and , hence , more chillingly [[effective]] .","not a schlocky [[critter]] [[specification]] but something [[severely]] more [[overdressed]] and cerebral--and , hence , more chillingly [[viable]] .",0.10421913862228394,0.6857064962387085,1,0,1,129,"Successful"
"another in a long line of ultra-violent war movies , this one is not quite what it could have been as a film , but the story and theme [[make]] up for it .","another in a long line of ultra-violent war movies , this one is not quite what it could have been as a film , but the story and theme [[making]] up for it .",0.4324031472206116,0.7682011127471924,1,0,1,59,"Successful"
"it leaves [[little]] doubt that kidman has become one of our best actors .","it leaves [[meagre]] doubt that kidman has become one of our best actors .",0.15173929929733276,0.8420886397361755,1,0,1,48,"Successful"
"the film [[boasts]] dry humor and jarring shocks , plus moments of [[breathtaking]] mystery .","the film [[roomy]] dry humor and jarring shocks , plus moments of [[whopping]] mystery .",0.04975241422653198,0.7125431299209595,1,0,1,33,"Successful"
"[[beautifully]] directed and convincingly acted .","[[appallingly]] directed and convincingly acted .",0.055518925189971924,0.5212506055831909,1,0,1,55,"Successful"
"gambling and throwing a basketball game for money isn't a new plot -- in fact toback himself used it in black and white . but toback's deranged immediacy makes it seem [[fresh]] again .","gambling and throwing a basketball game for money isn't a new plot -- in fact toback himself used it in black and white . but toback's deranged immediacy makes it seem [[soft]] again .",0.3491848111152649,0.8511135578155518,1,0,1,19,"Successful"
"in the director's cut , the film is not only a love song to the movies but it also is more [[fully]] an example of the kind of lush , all-enveloping movie experience it rhapsodizes .","in the director's cut , the film is not only a love song to the movies but it also is more [[entirely]] an example of the kind of lush , all-enveloping movie experience it rhapsodizes .",0.0916670560836792,0.6652206182479858,1,0,1,55,"Successful"
"bring on the sequel .","bring on the sequel .",0.512302041053772,0.512302041053772,0,0,1,1,"Skipped"
"[[graced]] with the kind of social texture and [[realism]] that would be foreign in american teen comedies .","[[venerated]] with the kind of social texture and [[pragmatist]] that would be foreign in american teen comedies .",0.07424473762512207,0.7770378589630127,1,0,1,55,"Successful"
"if we sometimes need comforting fantasies about mental illness , we also need movies like tim mccann's revolution no . 9 .","if we sometimes need comforting fantasies about mental illness , we also need movies like tim mccann's revolution no . 9 .",0.8382521271705627,0.8382521271705627,0,0,1,1,"Skipped"
"the film occasionally tries the viewer's patience with slow pacing and a main character who sometimes defies sympathy , but it ultimately satisfies with its [[moving]] story .","the film occasionally tries the viewer's patience with slow pacing and a main character who sometimes defies sympathy , but it ultimately satisfies with its [[relocation]] story .",0.07719749212265015,0.6361445188522339,1,0,1,55,"Successful"
"a big-budget/all-star movie as unblinkingly pure as the hours is a distinct rarity , and an event .","a big-budget/all-star movie as unblinkingly pure as the hours is a distinct rarity , and an event .",0.6617147922515869,0.6617147922515869,0,0,1,1,"Skipped"
". . . certainly an entertaining ride , despite many talky , slow scenes . but something seems to be missing . a sense of real magic , perhaps .",". . . certainly an entertaining ride , despite many talky , slow scenes . but something seems to be missing . a sense of real magic , perhaps .",0.6711206436157227,0.6711206436157227,0,0,1,1,"Skipped"
"that haynes can both maintain and dismantle the facades that his [[genre]] and his character construct is a wonderous [[accomplishment]] of veracity and [[narrative]] grace .","that haynes can both maintain and dismantle the facades that his [[types]] and his character construct is a wonderous [[materialization]] of veracity and [[storyline]] grace .",0.050431132316589355,0.5812960863113403,1,0,1,98,"Successful"
"the movie worked for me right up to the final scene , and then it caved in .","the movie worked for me right up to the final scene , and then it caved in .",0.8938634395599365,0.8938634395599365,0,0,1,1,"Skipped"
". . . one of the most [[entertaining]] monster [[movies]] in [[ages]] . . .",". . . one of the most [[funnier]] monster [[kino]] in [[seniority]] . . .",0.07664620876312256,0.8176954984664917,1,0,1,105,"Successful"
"[[plunges]] you into a [[reality]] that is , more [[often]] then not , [[difficult]] and sad , and then , without sentimentalizing it or [[denying]] its [[brutality]] , transforms that [[reality]] into a [[lyrical]] and [[celebratory]] [[vision]] .","[[demise]] you into a [[lowdown]] that is , more [[mostly]] then not , [[tedious]] and sad , and then , without sentimentalizing it or [[refute]] its [[brute]] , transforms that [[facto]] into a [[improvisational]] and [[shindig]] [[eyesight]] .",0.056550681591033936,0.7115035057067871,1,0,1,265,"Successful"
"would you laugh if a tuba-playing dwarf rolled down a hill in a trash can ? do you chuckle at the thought of an ancient librarian whacking a certain part of a man's body ? if you answered yes , by all means [[enjoy]] the new guy .","would you laugh if a tuba-playing dwarf rolled down a hill in a trash can ? do you chuckle at the thought of an ancient librarian whacking a certain part of a man's body ? if you answered yes , by all means [[have]] the new guy .",0.30671072006225586,0.7021605968475342,1,0,1,56,"Successful"
"the [[film]] is . . . determined to treat its characters , weak and strong , as fallible human beings , not [[caricatures]] , and to [[carefully]] delineate the cost of the inevitable conflicts between human urges and an institution concerned with self-preservation .","the [[theaters]] is . . . determined to treat its characters , weak and strong , as fallible human beings , not [[cartoons]] , and to [[severely]] delineate the cost of the inevitable conflicts between human urges and an institution concerned with self-preservation .",0.070972740650177,0.8303725123405457,1,0,1,83,"Successful"
"missteps take what was otherwise a fascinating , riveting story and send it down the path of the mundane .","missteps take what was otherwise a fascinating , riveting story and send it down the path of the mundane .",0.8901692628860474,0.8901692628860474,0,0,1,1,"Skipped"
"an [[indispensable]] [[peek]] at the art and the agony of making people laugh .","an [[needs]] [[cheat]] at the art and the agony of making people laugh .",0.054275333881378174,0.884750247001648,1,0,1,76,"Successful"
"steadfastly uncinematic but [[powerfully]] dramatic .","steadfastly uncinematic but [[severely]] dramatic .",0.057130396366119385,0.8519620895385742,1,0,1,53,"Successful"
"the engagingly primitive animated special effects [[contribute]] to a [[mood]] that's [[sustained]] through the surprisingly somber conclusion .","the engagingly primitive animated special effects [[contributing]] to a [[ambiance]] that's [[incessant]] through the surprisingly somber conclusion .",0.053502798080444336,0.6802198886871338,1,0,1,106,"Successful"
"made-up lampoons the moviemaking process itself , while shining a not particularly flattering spotlight on america's skin-deep notions of pulchritude .","made-up lampoons the moviemaking process itself , while shining a not particularly flattering spotlight on america's skin-deep notions of pulchritude .",0.7961866855621338,0.7961866855621338,0,0,1,1,"Skipped"
"[[evokes]] the 19th century with a [[subtlety]] that is an object lesson in period [[filmmaking]] .","[[mentions]] the 19th century with a [[heft]] that is an object lesson in period [[film]] .",0.0523800253868103,0.7731128931045532,1,0,1,91,"Successful"
"ya-yas everywhere will forgive the flaws and [[love]] the [[film]] .","ya-yas everywhere will forgive the flaws and [[iove]] the [[cinematographer]] .",0.10009533166885376,0.6798056364059448,1,0,1,84,"Successful"
"the film's best trick is the way that it treats conspiracy as a kind of political blair witch , a monstrous murk that haunts us precisely because it can never be seen .","the film's best trick is the way that it treats conspiracy as a kind of political blair witch , a monstrous murk that haunts us precisely because it can never be seen .",0.7606015205383301,0.7606015205383301,0,0,1,1,"Skipped"
"the artwork is [[spectacular]] and unlike most animaton from japan , the characters move with [[grace]] and [[panache]] .","the artwork is [[extraordinaire]] and unlike most animaton from japan , the characters move with [[gris]] and [[plume]] .",0.0712689757347107,0.7975244522094727,1,0,1,80,"Successful"
"the picture's fascinating byways are littered with trenchant satirical jabs at the peculiar egocentricities of the acting breed .","the picture's fascinating byways are littered with trenchant satirical jabs at the peculiar egocentricities of the acting breed .",0.8720735311508179,0.8720735311508179,0,0,1,1,"Skipped"
"the modern remake of dumas's story is long on narrative and ( too ) short on action .","the modern remake of dumas's story is long on narrative and ( too ) short on action .",0.8901947736740112,0.8901947736740112,0,0,1,1,"Skipped"
"fred schepisi's film is paced at a speed that is slow to those of us in middle age and deathly slow to any teen . with a cast of a-list brit actors , it is [[worth]] searching out .","fred schepisi's film is paced at a speed that is slow to those of us in middle age and deathly slow to any teen . with a cast of a-list brit actors , it is [[chastisement]] searching out .",0.1018073558807373,0.8434703946113586,1,0,1,39,"Successful"
"suffers from its timid parsing of the barn-side target of sons trying to breach gaps in their relationships with their fathers .","suffers from its timid parsing of the barn-side target of sons trying to breach gaps in their relationships with their fathers .",0.8735355138778687,0.8735355138778687,0,0,1,1,"Skipped"
"nonchalantly freaky and uncommonly pleasurable , warm water may well be the year's best and most unpredictable [[comedy]] .","nonchalantly freaky and uncommonly pleasurable , warm water may well be the year's best and most unpredictable [[comedies]] .",0.17326027154922485,0.5119836926460266,1,0,1,51,"Successful"
"it's like an old warner bros . costumer jived with sex -- this could be the movie errol flynn always wanted to make , though bette davis , cast as joan , would have killed him .","it's like an old warner bros . costumer jived with sex -- this could be the movie errol flynn always wanted to make , though bette davis , cast as joan , would have killed him .",0.8547091484069824,0.8547091484069824,0,0,1,1,"Skipped"
"it's a [[great]] [[american]] [[adventure]] and a [[wonderful]] [[film]] to [[bring]] to imax .","it's a [[gargantuan]] [[usa]] [[itinerary]] and a [[grandiose]] [[photographs]] to [[doing]] to imax .",0.05195719003677368,0.8899745345115662,1,0,1,218,"Successful"
"satisfyingly scarifying , [[fresh]] and old-fashioned at the same [[time]] .","satisfyingly scarifying , [[mild]] and old-fashioned at the same [[scheduling]] .",0.07505923509597778,0.39553302526474,1,1,1,59,"Failed"
"oh , james ! your 20th outing shows off a lot of stamina and vitality , and get this , madonna's cameo doesn't [[suck]] !","oh , james ! your 20th outing shows off a lot of stamina and vitality , and get this , madonna's cameo doesn't [[sucks]] !",0.47101134061813354,0.6474982500076294,1,0,1,42,"Successful"
"a genuine mind-bender .","a genuine mind-bender .",0.7566101551055908,0.7566101551055908,0,0,1,1,"Skipped"
"that death is merely a transition is a common tenet in the world's religions . this [[deeply]] spiritual [[film]] taps into the meaning and consolation in afterlife communications .","that death is merely a transition is a common tenet in the world's religions . this [[severely]] spiritual [[theaters]] taps into the meaning and consolation in afterlife communications .",0.05957520008087158,0.5828021764755249,1,0,1,92,"Successful"
"there is something that is so [[meditative]] and lyrical about babak payami's [[boldly]] [[quirky]] iranian drama secret ballot . . . a [[charming]] and [[evoking]] little ditty that manages to show the gentle and humane side of middle eastern world politics","there is something that is so [[cathartic]] and lyrical about babak payami's [[arrogantly]] [[whacky]] iranian drama secret ballot . . . a [[cutie]] and [[indicating]] little ditty that manages to show the gentle and humane side of middle eastern world politics",0.04693549871444702,0.5437438488006592,1,0,1,177,"Successful"
"a [[huge]] box-office hit in [[korea]] , shiri is a must for genre fans .","a [[humongous]] box-office hit in [[ambrose]] , shiri is a must for genre fans .",0.14636653661727905,0.7548694610595703,1,0,1,58,"Successful"
". . . planos fijos , tomas largas , un ritmo pausado y una sutil observación de [[sus]] personajes , [[sin]] estridencias ni grandes revelaciones .",". . . planos fijos , tomas largas , un ritmo pausado y una sutil observación de [[mismo]] personajes , [[sinner]] estridencias ni grandes revelaciones .",0.20772165060043335,0.5362348556518555,1,0,1,43,"Successful"
"i'm not a fan of the phrase 'life affirming' because it usually means 'schmaltzy , ' but real women have curves [[truly]] is life affirming .","i'm not a fan of the phrase 'life affirming' because it usually means 'schmaltzy , ' but real women have curves [[honestly]] is life affirming .",0.3006798028945923,0.7023617029190063,1,0,1,51,"Successful"
"the symbols float like butterflies and the spinning styx sting like bees . i [[wanted]] more .","the symbols float like butterflies and the spinning styx sting like bees . i [[could]] more .",0.26483994722366333,0.5045296549797058,1,0,1,59,"Successful"
"if it's unnerving suspense you're after -- you'll find it with ring , an indisputably spooky film ; with a screenplay to die for .","if it's unnerving suspense you're after -- you'll find it with ring , an indisputably spooky film ; with a screenplay to die for .",0.8140329718589783,0.8140329718589783,0,0,1,1,"Skipped"
"the art direction and costumes are gorgeous and finely detailed , and kurys' direction is [[clever]] and [[insightful]] .","the art direction and costumes are gorgeous and finely detailed , and kurys' direction is [[malignant]] and [[canny]] .",0.05198335647583008,0.8520106077194214,1,0,1,81,"Successful"
"red dragon [[makes]] one [[appreciate]] silence of the lambs .","red dragon [[implies]] one [[applaud]] silence of the lambs .",0.07573109865188599,0.7635412216186523,1,0,1,91,"Successful"
"proves a servicable world war ii drama that can't totally hide its contrivances , but it at least calls [[attention]] to a problem hollywood too long has ignored .","proves a servicable world war ii drama that can't totally hide its contrivances , but it at least calls [[preoccupation]] to a problem hollywood too long has ignored .",0.12921589612960815,0.6638422012329102,1,0,1,47,"Successful"
"leigh isn't breaking new ground , but he [[knows]] how a daily grind can kill love .","leigh isn't breaking new ground , but he [[knowing]] how a daily grind can kill love .",0.3441748023033142,0.5040854215621948,1,0,1,26,"Successful"
"while broomfield's film doesn't capture the effect of these tragic deaths on hip-hop culture , it succeeds as a [[powerful]] look at a failure of our justice system .","while broomfield's film doesn't capture the effect of these tragic deaths on hip-hop culture , it succeeds as a [[pompous]] look at a failure of our justice system .",0.063510000705719,0.515040934085846,1,0,1,58,"Successful"
". . . strips bible stores of the potential for sanctimoniousness , making them [[meaningful]] for both kids and church-wary adults .",". . . strips bible stores of the potential for sanctimoniousness , making them [[significant]] for both kids and church-wary adults .",0.17045480012893677,0.6635857224464417,1,0,1,32,"Successful"
"laugh-out-loud lines , adorably ditsy but [[heartfelt]] performances , and [[sparkling]] , [[bittersweet]] dialogue that [[cuts]] to the chase of the modern girl's dilemma .","laugh-out-loud lines , adorably ditsy but [[devout]] performances , and [[hued]] , [[heartbreaking]] dialogue that [[reduced]] to the chase of the modern girl's dilemma .",0.04830211400985718,0.5134115219116211,1,0,1,89,"Successful"
"tends to pile too many "" serious issues "" on its plate at times , yet remains fairly light , always [[entertaining]] , and [[smartly]] written .","tends to pile too many "" serious issues "" on its plate at times , yet remains fairly light , always [[distracting]] , and [[neatly]] written .",0.10464614629745483,0.8055317997932434,1,0,1,81,"Successful"
"a solidly [[entertaining]] little film .","a solidly [[zany]] little film .",0.06422388553619385,0.8721381425857544,1,0,1,48,"Successful"
"it's an [[entertaining]] movie , and the effects , boosted to the size of a downtown hotel , will all but take you to outer space .","it's an [[comical]] movie , and the effects , boosted to the size of a downtown hotel , will all but take you to outer space .",0.07372444868087769,0.7288286685943604,1,0,1,36,"Successful"
"sayles has a knack for casting , often resurrecting performers who rarely work in movies now . . . and drawing flavorful performances from bland actors .","sayles has a knack for casting , often resurrecting performers who rarely work in movies now . . . and drawing flavorful performances from bland actors .",0.686412513256073,0.686412513256073,0,0,1,1,"Skipped"
"[[despite]] an overwrought ending , the film works as well as it does because of the [[performances]] .","[[whereas]] an overwrought ending , the film works as well as it does because of the [[showings]] .",0.10283660888671875,0.7871507406234741,1,0,1,20,"Successful"
"a [[passionately]] inquisitive [[film]] determined to uncover the truth and [[hopefully]] inspire action .","a [[nervously]] inquisitive [[cameraman]] determined to uncover the truth and [[definately]] inspire action .",0.04635465145111084,0.7750268578529358,1,0,1,116,"Successful"
"[[though]] nijinsky's words grow increasingly disturbed , the film maintains a [[beguiling]] serenity and poise that make it [[accessible]] for a non-narrative feature .","[[upon]] nijinsky's words grow increasingly disturbed , the film maintains a [[hypnotizing]] serenity and poise that make it [[disposable]] for a non-narrative feature .",0.054207444190979004,0.5154715180397034,1,0,1,54,"Successful"
"a muddle splashed with bloody beauty as vivid as any scorsese has ever given us .","a muddle splashed with bloody beauty as vivid as any scorsese has ever given us .",0.5436880588531494,0.5436880588531494,0,0,1,1,"Skipped"
"from both a [[great]] and a terrible story , mr . nelson has made a [[film]] that is an undeniably worthy and [[devastating]] experience .","from both a [[considerable]] and a terrible story , mr . nelson has made a [[filmmaking]] that is an undeniably worthy and [[ruining]] experience .",0.055879831314086914,0.5032881498336792,1,0,1,76,"Successful"
"spider-man is about growing strange hairs , getting a more mature body , and finding it necessary to hide new secretions from the parental units .","spider-man is about growing strange hairs , getting a more mature body , and finding it necessary to hide new secretions from the parental units .",0.8504822254180908,0.8504822254180908,0,0,1,1,"Skipped"
"the first shocking thing about sorority boys is that it's actually watchable . even more baffling is that it's [[funny]] .","the first shocking thing about sorority boys is that it's actually watchable . even more baffling is that it's [[funniest]] .",0.18384188413619995,0.8187965154647827,1,0,1,49,"Successful"
"highlighted by a gritty style and an [[excellent]] cast , it's [[better]] than one might expect when you look at the list of movies starring ice-t in a major role .","highlighted by a gritty style and an [[grandiose]] cast , it's [[more]] than one might expect when you look at the list of movies starring ice-t in a major role .",0.08275151252746582,0.5761345624923706,1,0,1,82,"Successful"
"neither quite a comedy nor a romance , more of an impish divertissement of themes that interest attal and gainsbourg -- they live together -- the film [[has]] a lot of [[charm]] .","neither quite a comedy nor a romance , more of an impish divertissement of themes that interest attal and gainsbourg -- they live together -- the film [[is]] a lot of [[exudes]] .",0.07847815752029419,0.6772760152816772,1,0,1,71,"Successful"
"first and foremost . . . the reason to go see "" blue crush "" is the [[phenomenal]] , water-born cinematography by david hennings .","first and foremost . . . the reason to go see "" blue crush "" is the [[stupendous]] , water-born cinematography by david hennings .",0.07118988037109375,0.7890714406967163,1,0,1,59,"Successful"
"a visionary marvel , but it's lacking a depth in storytelling usually found in anime like this .","a visionary marvel , but it's lacking a depth in storytelling usually found in anime like this .",0.879824697971344,0.879824697971344,0,0,1,1,"Skipped"
"the problems and characters it reveals are universal and [[involving]] , and the film itself -- as well its delightful cast -- is so [[breezy]] , pretty and gifted , it really won my [[heart]] .","the problems and characters it reveals are universal and [[imply]] , and the film itself -- as well its delightful cast -- is so [[occasional]] , pretty and gifted , it really won my [[gist]] .",0.05348026752471924,0.6060634851455688,1,0,1,95,"Successful"
"in his latest effort , [[storytelling]] , solondz has finally made a movie that isn't just offensive -- it also happens to be [[good]] .","in his latest effort , [[storybooks]] , solondz has finally made a movie that isn't just offensive -- it also happens to be [[buon]] .",0.0798959732055664,0.528974175453186,1,0,1,75,"Successful"
"how i killed my father would be a rarity in hollywood . it's an actor's [[showcase]] that [[accomplishes]] its primary goal without the use of special effects , but rather by emphasizing the characters -- including the supporting ones .","how i killed my father would be a rarity in hollywood . it's an actor's [[indicate]] that [[accomplishing]] its primary goal without the use of special effects , but rather by emphasizing the characters -- including the supporting ones .",0.1239248514175415,0.8072794079780579,1,0,1,85,"Successful"
"i just saw this movie . . . well , it's probably not accurate to call it a movie .","i just saw this movie . . . well , it's probably not accurate to call it a movie .",0.8862385153770447,0.8862385153770447,0,0,1,1,"Skipped"
"what's most [[memorable]] about circuit is that it's shot on digital video , whose tiny camera enables shafer to [[navigate]] spaces both large . . . and small . . . with considerable aplomb .","what's most [[stupendous]] about circuit is that it's shot on digital video , whose tiny camera enables shafer to [[browsing]] spaces both large . . . and small . . . with considerable aplomb .",0.09457653760910034,0.7195311784744263,1,0,1,101,"Successful"
"scherfig , the writer-director , has made a film so unabashedly hopeful that it actually [[makes]] the [[heart]] soar . yes , soar .","scherfig , the writer-director , has made a film so unabashedly hopeful that it actually [[devotes]] the [[cardiology]] soar . yes , soar .",0.10492688417434692,0.5281065702438354,1,0,1,70,"Successful"
"a [[delicious]] and [[delicately]] funny look at the residents of a copenhagen neighborhood coping with the befuddling complications [[life]] tosses at them .","a [[nice]] and [[awkwardly]] funny look at the residents of a copenhagen neighborhood coping with the befuddling complications [[inhabit]] tosses at them .",0.048708319664001465,0.8503583073616028,1,0,1,121,"Successful"
""" what really happened ? "" is a question for philosophers , not filmmakers ; all the filmmakers need to do is engage an audience .",""" what really happened ? "" is a question for philosophers , not filmmakers ; all the filmmakers need to do is engage an audience .",0.8233866095542908,0.8233866095542908,0,0,1,1,"Skipped"
"soderbergh , like [[kubrick]] before him , may not touch the planet's skin , but [[understands]] the workings of its spirit .","soderbergh , like [[coppola]] before him , may not touch the planet's skin , but [[including]] the workings of its spirit .",0.09478902816772461,0.5572977066040039,1,0,1,68,"Successful"
"much credit must be given to the water-camera operating team of don king , sonny miller , and michael stewart . their work is [[fantastic]] .","much credit must be given to the water-camera operating team of don king , sonny miller , and michael stewart . their work is [[peachy]] .",0.08427369594573975,0.5633023977279663,1,0,1,57,"Successful"
"crush is so warm and fuzzy you might be able to forgive its mean-spirited second half .","crush is so warm and fuzzy you might be able to forgive its mean-spirited second half .",0.855872392654419,0.855872392654419,0,0,1,1,"Skipped"
"franco is an excellent choice for the walled-off but combustible hustler , but he does not give the transcendent performance sonny needs to overcome gaps in character development and story logic .","franco is an excellent choice for the walled-off but combustible hustler , but he does not give the transcendent performance sonny needs to overcome gaps in character development and story logic .",0.8520007729530334,0.8520007729530334,0,0,1,1,"Skipped"
"tsai ming-liang's [[witty]] , wistful new film , what time is it there ? , is a temporal inquiry that [[shoulders]] its philosophical burden lightly .","tsai ming-liang's [[bawdy]] , wistful new film , what time is it there ? , is a temporal inquiry that [[coasts]] its philosophical burden lightly .",0.07363003492355347,0.6532454490661621,1,0,1,45,"Successful"
"the pianist lacks the quick emotional connections of steven spielberg's schindler's list . but mr . polanski [[creates]] images even more haunting than those in mr . spielberg's 1993 classic .","the pianist lacks the quick emotional connections of steven spielberg's schindler's list . but mr . polanski [[engendered]] images even more haunting than those in mr . spielberg's 1993 classic .",0.1248522400856018,0.5193800926208496,1,0,1,69,"Successful"
"steers , in his feature film debut , has created a [[brilliant]] motion picture .","steers , in his feature film debut , has created a [[grandiose]] motion picture .",0.05353516340255737,0.6948869228363037,1,0,1,56,"Successful"
"a [[brilliant]] , absurd [[collection]] of vignettes that , in their own idiosyncratic way , sum up the strange horror of life in the new millennium .","a [[briiliant]] , absurd [[collecting]] of vignettes that , in their own idiosyncratic way , sum up the strange horror of life in the new millennium .",0.05433952808380127,0.618836522102356,1,0,1,102,"Successful"
"as [[warm]] as it is wise , deftly [[setting]] off uproarious [[humor]] with an underlying [[seriousness]] that sneaks up on the viewer , providing an experience that is [[richer]] than [[anticipated]] .","as [[soured]] as it is wise , deftly [[tweaking]] off uproarious [[joke]] with an underlying [[profundity]] that sneaks up on the viewer , providing an experience that is [[opulence]] than [[prognosis]] .",0.04727667570114136,0.5159608125686646,1,0,1,186,"Successful"
"the film may not hit as hard as some of the better drug-related pictures , but it still [[manages]] to get a few punches in .","the film may not hit as hard as some of the better drug-related pictures , but it still [[administration]] to get a few punches in .",0.13645446300506592,0.8500140905380249,1,0,1,33,"Successful"
"old-fashioned but thoroughly [[satisfying]] entertainment .","old-fashioned but thoroughly [[salubrious]] entertainment .",0.06254208087921143,0.886221706867218,1,0,1,45,"Successful"
"an [[energizing]] , [[intoxicating]] documentary [[charting]] the rise of hip-hop culture in general and the art of scratching ( or turntablism ) in [[particular]] .","an [[energize]] , [[guzzled]] documentary [[graphics]] the rise of hip-hop culture in general and the art of scratching ( or turntablism ) in [[idiosyncratic]] .",0.045517802238464355,0.669130265712738,1,0,1,110,"Successful"
"a [[fun]] family movie that's suitable for all [[ages]] -- a [[movie]] that will make you laugh , [[cry]] and realize , 'it's never too late to believe in your [[dreams]] . '","a [[jest]] family movie that's suitable for all [[olds]] -- a [[cine]] that will make you laugh , [[blubbering]] and realize , 'it's never too late to believe in your [[delusions]] . '",0.05701732635498047,0.5399603247642517,1,0,1,166,"Successful"
"if you open yourself up to mr . reggio's theory of this imagery as the movie's set . . . it can impart an almost visceral sense of dislocation and [[change]] .","if you open yourself up to mr . reggio's theory of this imagery as the movie's set . . . it can impart an almost visceral sense of dislocation and [[tampered]] .",0.07604610919952393,0.5167291164398193,1,0,1,60,"Successful"
"i had a dream that a smart comedy would come along to rescue me from a summer of teen-driven , toilet-humor codswallop , and its name was [[earnest]] .","i had a dream that a smart comedy would come along to rescue me from a summer of teen-driven , toilet-humor codswallop , and its name was [[seriously]] .",0.3757869005203247,0.5789602994918823,1,0,1,30,"Successful"
"even though the film doesn't manage to hit all of its marks , it's still [[entertaining]] to watch the target practice .","even though the film doesn't manage to hit all of its marks , it's still [[droll]] to watch the target practice .",0.08472150564193726,0.5669301748275757,1,0,1,39,"Successful"
"where this was lazy but enjoyable , a formula comedy redeemed by its stars , that is even lazier and far less enjoyable .","where this was lazy but enjoyable , a formula comedy redeemed by its stars , that is even lazier and far less enjoyable .",0.8858843445777893,0.8858843445777893,0,0,1,1,"Skipped"
"the 3-d [[vistas]] from [[orbit]] , with the [[space]] station [[suspended]] like a [[huge]] [[set]] of wind chimes over the great blue [[globe]] , are stanzas of [[breathtaking]] , awe-inspiring [[visual]] poetry .","the 3-d [[notice]] from [[track]] , with the [[spaceship]] station [[discontinue]] like a [[gigantic]] [[configured]] of wind chimes over the great blue [[globo]] , are stanzas of [[whopping]] , awe-inspiring [[optical]] poetry .",0.06626290082931519,0.5209835767745972,1,0,1,261,"Successful"
"the attraction between these two marginal characters is complex from the start -- and , [[refreshingly]] , stays that way .","the attraction between these two marginal characters is complex from the start -- and , [[blithely]] , stays that way .",0.09854590892791748,0.7478570342063904,1,0,1,58,"Successful"
"[[fans]] of the modern day [[hong]] kong action film finally have the [[worthy]] successor to a [[better]] [[tomorrow]] and the killer which they have been patiently waiting for .","[[gamer]] of the modern day [[hk]] kong action film finally have the [[legitimate]] successor to a [[preferable]] [[tommorrow]] and the killer which they have been patiently waiting for .",0.07108515501022339,0.6329672336578369,1,0,1,104,"Successful"
"even when he's not at his most [[critically]] insightful , godard can [[still]] be smarter than any 50 other [[filmmakers]] still at work .","even when he's not at his most [[massively]] insightful , godard can [[anymore]] be smarter than any 50 other [[movie]] still at work .",0.12387645244598389,0.5154008269309998,1,0,1,114,"Successful"
"what sets this romantic comedy apart from most hollywood romantic comedies is its low-key way of tackling what seems like done-to-death material .","what sets this romantic comedy apart from most hollywood romantic comedies is its low-key way of tackling what seems like done-to-death material .",0.848359227180481,0.848359227180481,0,0,1,1,"Skipped"
"has enough [[wit]] , [[energy]] and geniality to please not only the fanatical adherents on either [[side]] , but also [[people]] who know nothing about the subject and [[think]] they're not interested .","has enough [[mind]] , [[electrified]] and geniality to please not only the fanatical adherents on either [[lado]] , but also [[volk]] who know nothing about the subject and [[devine]] they're not interested .",0.08383160829544067,0.5732293128967285,1,0,1,109,"Successful"
"this seductive tease of a thriller [[gets]] the job done . it's a scorcher .","this seductive tease of a thriller [[became]] the job done . it's a scorcher .",0.2638528347015381,0.8022154569625854,1,0,1,52,"Successful"
"[[bittersweet]] comedy/drama full of life , hand gestures , and some really [[adorable]] italian guys .","[[maudlin]] comedy/drama full of life , hand gestures , and some really [[beatiful]] italian guys .",0.0732772946357727,0.7475712895393372,1,0,1,69,"Successful"
"works as pretty contagious [[fun]] .","works as pretty contagious [[hilarity]] .",0.3222225308418274,0.878642201423645,1,0,1,47,"Successful"
"the best didacticism is one [[carried]] by a [[strong]] [[sense]] of [[humanism]] , and bertrand tavernier's oft-brilliant safe conduct ( "" laissez-passer "" ) wears its [[heart]] on its sleeve .","the best didacticism is one [[tabled]] by a [[stringent]] [[hunch]] of [[existentialist]] , and bertrand tavernier's oft-brilliant safe conduct ( "" laissez-passer "" ) wears its [[centre]] on its sleeve .",0.07663750648498535,0.5951922535896301,1,0,1,168,"Successful"
"a [[realistically]] terrifying [[movie]] that [[puts]] another notch in the belt of the long list of renegade-cop tales .","a [[seriously]] terrifying [[films]] that [[posed]] another notch in the belt of the long list of renegade-cop tales .",0.05938822031021118,0.6813479661941528,1,0,1,95,"Successful"
"a [[charming]] , banter-filled comedy . . . one of those airy cinematic bon bons whose aims -- and by extension , accomplishments -- seem deceptively slight on the surface .","a [[purty]] , banter-filled comedy . . . one of those airy cinematic bon bons whose aims -- and by extension , accomplishments -- seem deceptively slight on the surface .",0.09916061162948608,0.763974666595459,1,0,1,60,"Successful"
"a film with almost as many [[delights]] for adults as there are for children and dog lovers .","a film with almost as many [[indulge]] for adults as there are for children and dog lovers .",0.05601239204406738,0.7141276001930237,1,0,1,42,"Successful"
"serious movie-goers embarking upon this journey will find that the road to perdition leads to a [[satisfying]] destination .","serious movie-goers embarking upon this journey will find that the road to perdition leads to a [[fecund]] destination .",0.08681875467300415,0.8946439623832703,1,0,1,21,"Successful"
